티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1609806246.0,1609806246.0,0.0
KRD010010001,원화현금,35962181.0,35962181.0,0.0
SNDK US Equity,Sandisk Corp/DE,90.48,185152502.0,0.11764348585576043
BE US Equity,BLOOM ENERGY CORPORATION,334.29,143617093.0,0.09125242849265375
INTC US Equity,INTEL Corp,818.91,128871101.0,0.08188301742587185
AMD US Equity,ADVANCED MICRO DEVICES,181.01,93571096.0,0.05945385447064605
LITE US Equity,Lumentum Holdings Inc,64.17,92865813.0,0.05900572684753238
STX US Equity,SEAGATE TECHNOLOGY,67.79,76053373.0,0.04832332166274681
WDC US Equity,WESTERN DIGITAL,99.41,67300552.0,0.042761893313744526
ARM US Equity,ARM Holdings PLC,213.11,64760524.0,0.04114799263801271
NBIS US Equity,YANDEX NV-A,229.87,58842396.0,0.037387691264064334
MU US Equity,MICRON TECH,53.24,49595989.0,0.031512644805760985
CRWV US Equity,Coreweave Inc,261.2,48607423.0,0.03088452285773305
CIEN US Equity,Ciena Corp,60.72,48130662.0,0.030581595134077023
MRVL US Equity,MARVELL TECHNOLOGY INC,185.15,45463235.0,0.02888674679470231
005930,삼성전자,164.0,43624000.0,0.027718120854622278
COHR US Equity,COHERENT CORP,88.46,43214543.0,0.027457957215094243
FN US Equity,Fabrinet,34.26,32918091.0,0.020915725853691863
PLTR US Equity,Palantir Technologies Inc -A,160.95,31829897.0,0.020224301573358222
AMZN US Equity,Amazon.com Inc,74.01,29459133.0,0.018717949036456797
AAOI US Equity,Applied Optoelectronics Inc,109.0,28639467.0,0.01819714394640488
6857 JP Equity,ADVANTEST CORP,107.72,27887727.0,0.017719498151171666
NVTS US Equity,NAVITAS SEMICONDUCTOR CORP,1055.13,26944860.0,0.017120412751945664
GOOGL US Equity,ALPHABET INC-CL A,40.73,23020778.0,0.014627102209137854
0093D0,KoAct 팔란티어밸류체인액티브,1046.0,18451440.0,0.011723804416417837
011070,LG이노텍,29.0,18328000.0,0.011645372249759698
TSEM US Equity,Tower Semiconductor Ltd,50.07,16431406.0,0.010440301148894316
FORM US Equity,FormFactor Inc,75.23,15872740.0,0.01008533205606999
NVDA US Equity,NVIDIA Corp,55.21,15786037.0,0.010030242100255339
5803 JP Equity,Fujikura Ltd,270.99,14649323.0,0.009307988844498391
AVGO US Equity,BROADCOM LTD,23.26,14464266.0,0.009190406039368328
VICR US Equity,Vicor Corp,36.74,14220726.0,0.009035663898506997
VRT US Equity,Vertiv Holdings Co,27.47,13631114.0,0.008661032120739357
TSLA US Equity,TESLA MOTORS,21.11,11960340.0,0.00759944410375878
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,16.54,9492405.0,0.00603135038031865
108490,로보티즈,27.0,8370000.0,0.005318188876608941
GEV US Equity,GE Vernova LLC,4.28,6820779.0,0.004333834051088155
XNDU US Equity,Xanadu Quantum Technologies Ltd,254.29,4995234.0,0.0031739065585255424
