티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1388846603.0,1388846603.0,0.0
KRD010010001,원화현금,5108438.0,5108438.0,0.0
SNDK US Equity,Sandisk Corp/DE,101.31,135102076.0,0.09763557833211893
LITE US Equity,Lumentum Holdings Inc,85.49,105605277.0,0.07631882943692603
BE US Equity,BLOOM ENERGY CORPORATION,292.73,95448468.0,0.06897870595337666
WDC US Equity,WESTERN DIGITAL,141.28,80035622.0,0.05784014925974092
CIEN US Equity,Ciena Corp,85.3,63698003.0,0.04603327754568365
ARM US Equity,ARM Holdings PLC,211.83,54868892.0,0.039652654951524015
COHR US Equity,COHERENT CORP,107.73,54665869.0,0.03950593427478384
MRVL US Equity,MARVELL TECHNOLOGY INC,194.15,43360210.0,0.031335559787786876
INTC US Equity,INTEL Corp,438.78,42912578.0,0.03101206506073351
AMD US Equity,ADVANCED MICRO DEVICES,101.78,42738158.0,0.030886015202160735
GLW US Equity,CORNING INC,159.34,38911497.0,0.028120563546066533
005930,삼성전자,172.0,37410000.0,0.02703546158243023
TSEM US Equity,Tower Semiconductor Ltd,116.94,37406617.0,0.02703301675573861
TER US Equity,TERADYNE INC,62.72,35171913.0,0.025418040702808828
AVGO US Equity,BROADCOM LTD,55.61,33010258.0,0.023855855706632186
LRCX US Equity,LAM RESEARCH,80.28,30615108.0,0.02212492852648897
AMZN US Equity,Amazon.com Inc,77.61,28627780.0,0.020688726179638184
MU US Equity,MICRON TECH,43.08,28574312.0,0.020650085921421413
6857 JP Equity,ADVANTEST CORP,112.96,28486487.0,0.020586616543889283
KLAC US Equity,KLA Corp,9.12,24033079.0,0.017368227319219744
KEYS US Equity,KEYSIGHT TECH,46.57,23322572.0,0.01685475806761462
GOOGL US Equity,ALPHABET INC-CL A,42.71,20947548.0,0.015138375546648307
VRT US Equity,Vertiv Holdings Co,44.92,20715371.0,0.014970585855019761
AEHR US Equity,Aehr Test Systems,140.0,19366300.0,0.013995639124400388
RMBS US Equity,Rambus Inc,91.11,17542702.0,0.01267776118612729
0093D0,KoAct 팔란티어밸류체인액티브,1097.0,17442300.0,0.012605202661299726
ASML US Equity,ASML HOLDING,8.08,17399792.0,0.012574482976698125
NVDA US Equity,NVIDIA Corp,57.89,17078874.0,0.01234256193258932
FIX US Equity,Comfort Systems USA Inc,6.83,16877340.0,0.012196917326479898
FORM US Equity,FormFactor Inc,78.89,16539370.0,0.011952673141742825
NBIS US Equity,YANDEX NV-A,70.0,16174746.0,0.011689166642303314
5803 JP Equity,Fujikura Ltd,284.17,15515475.0,0.01121272462698895
011070,LG이노텍,31.0,15500000.0,0.011201541152837972
FN US Equity,Fabrinet,13.9,14269566.0,0.010312331018202421
META US Equity,Meta Platforms Inc-CL A,14.44,14255281.0,0.01030200753333995
QBTS US Equity,D-Wave Quantum Inc,449.15,13497568.0,0.0097544234461438
TSLA US Equity,TESLA MOTORS,22.13,12621976.0,0.009121650554460207
XNDU US Equity,Xanadu Quantum Technologies Ltd,371.08,12542652.0,0.009064324680240354
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,17.34,9420580.0,0.006808065455071119
STX US Equity,SEAGATE TECHNOLOGY,11.03,9115328.0,0.0065874659170075
COIN US Equity,COINBASE GLOBAL INC -CLASS A,29.78,8613037.0,0.0062244702197687815
108490,로보티즈,28.0,7728000.0,0.0055848716147826995
GEV US Equity,GE Vernova LLC,4.49,6569583.0,0.004747706731063532
