티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,917548849.0,917548849.0,0.0
KRD010010001,원화현금,16023963.0,16023963.0,0.0
NVDA US Equity,NVIDIA Corp,225.18,56513279.0,0.06268632167298818
BE US Equity,BLOOM ENERGY CORPORATION,433.3,42037793.0,0.04662965343809711
PLTR US Equity,Palantir Technologies Inc -A,157.99,39969746.0,0.04433571010706409
TSLA US Equity,TESLA MOTORS,63.33,37871088.0,0.042007812083847455
005930,삼성전자,419.0,34902700.0,0.03871518195671861
LEU US Equity,Centrus Energy Corp,76.67,33806651.0,0.037499409639147774
GOOGL US Equity,ALPHABET INC-CL A,95.82,33264276.0,0.036897790084965
AVGO US Equity,BROADCOM LTD,66.22,31435139.0,0.03486885330417823
AMZN US Equity,Amazon.com Inc,101.92,31403086.0,0.03483329909985424
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,117.12,29026297.0,0.03219688934909779
MSFT US Equity,MICROSOFT,37.92,27155618.0,0.030121872864195123
CCJ US Equity,CAMECO CORP,183.93,22252988.0,0.024683720156339645
FSLR US Equity,FIRST SOLAR INC,69.26,21819380.0,0.02420274840865569
ALAB US Equity,Astera Labs Inc,75.47,21386985.0,0.023723122159048197
277810,레인보우로보틱스,64.0,20096000.0,0.022291120646890275
META US Equity,Meta Platforms Inc-CL A,18.54,19610879.0,0.02175300904560942
SOFI US Equity,SOFI TECHNOLOGIES ORD,492.43,19557688.0,0.021694007901186214
CLS US Equity,Celestica Inc,54.7,18900465.0,0.020964995302414757
GEV US Equity,GE Vernova LLC,21.73,18645670.0,0.020682368606294913
RBLX US Equity,Roblox Coperation,98.28,18328561.0,0.0203306212447695
GLW US Equity,CORNING INC,158.74,17741292.0,0.019679203841745086
CRDO US Equity,Credo Technology Group Holding Ltd,85.85,17574633.0,0.019494340392506925
HOOD US Equity,Robinhood Markets Inc,94.91,16441340.0,0.01823725584875313
ANET US Equity,ARISTA NETWORKS,80.24,16213129.0,0.01798411696868011
MU US Equity,MICRON TECH,64.67,14324837.0,0.015889563585491526
VRT US Equity,Vertiv Holdings Co,71.79,14172146.0,0.015720193884919555
OKLO US Equity,Oklo Inc,83.74,14090026.0,0.01562910377606592
TLN US Equity,Talen Energy Corp,23.24,13481545.0,0.014954157349795001
RDDT US Equity,Reddit Inc,37.0,12163235.0,0.01349184608088567
ORCL US Equity,ORACLE,26.31,10825893.0,0.012008423913879622
PANW US Equity,PALO ALTO NETWORKS INC,37.55,10724332.0,0.011895769231155755
FIX US Equity,Comfort Systems USA Inc,9.71,10723018.0,0.01189431170067556
CRWV US Equity,Coreweave Inc,59.33,10613815.0,0.01177318026914678
NBIS US Equity,YANDEX NV-A,69.13,10539176.0,0.011690388322791125
INTC US Equity,INTEL Corp,211.6,10158381.0,0.01126799842994018
IREN US Equity,IREN Ltd,140.4,9179351.0,0.010182027299022336
SEI US Equity,Solaris Energy Infrastructure Inc,168.06,9067455.0,0.01005790870647136
TEM US Equity,Tempus AI Inc,81.08,8855629.0,0.009822944588131979
SNDK US Equity,Sandisk Corp/DE,65.55,8729634.0,0.009683186937559481
0093D0,KoAct 팔란티어밸류체인액티브,773.0,8719440.0,0.009671879429404904
LRCX US Equity,LAM RESEARCH,46.42,8400665.0,0.009318284087833821
IBKR US Equity,Interactive Brokers Group Inc,83.01,7617298.0,0.008449348562963574
GNRC US Equity,GENERAC HOLDINGS INC,32.8,7609627.0,0.008440839646438778
BWXT US Equity,BWX Technologies Inc,29.48,7336953.0,0.008138380996395479
Z US Equity,ZILLOW GROUP INC - C,66.34,7285067.0,0.008080827399366988
VST US Equity,VISTRA ENERGY CORP,25.16,7164765.0,0.00794738460497695
LMND US Equity,Lemonade Inc,93.98,6963401.0,0.0077240252688931315
059090,미코,462.0,6592740.0,0.00731287633029356
SNOW US Equity,Snowflake Inc   - CL A,17.73,5549274.0,0.0061554307442601205
000990,DB하이텍,98.0,5517400.0,0.006120075092414032
399720,가온칩스,116.0,5463600.0,0.006060398425873293
000660,SK하이닉스,11.0,3701500.0,0.004105821211906068
