티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1085930497.0,1085930497.0,0.0
KRD010010001,원화현금,2019723.0,2019723.0,0.0
NVDA US Equity,NVIDIA Corp,228.04,64863756.0,0.059842339015259205
GOOGL US Equity,ALPHABET INC-CL A,113.07,47580338.0,0.04389691397236725
PLTR US Equity,Palantir Technologies Inc -A,164.47,44457278.0,0.04101562514775778
SNDK US Equity,Sandisk Corp/DE,106.43,44222289.0,0.040798827782479445
AMZN US Equity,Amazon.com Inc,118.59,42504119.0,0.03921366962996901
MU US Equity,MICRON TECH,116.72,41953805.0,0.03870595809761736
BE US Equity,BLOOM ENERGY CORPORATION,223.06,41486247.0,0.03827459602315938
AKAM US Equity,Akamai Technologies Inc,286.02,37823219.0,0.034895140732312716
TSLA US Equity,TESLA MOTORS,59.43,37559261.0,0.03465161699739687
005930,삼성전자,360.0,37008000.0,0.03414303177689421
MSFT US Equity,MICROSOFT,47.31,35491970.0,0.03274436498958539
AVGO US Equity,BROADCOM LTD,63.05,32871520.0,0.030326776694628556
LITE US Equity,Lumentum Holdings Inc,77.17,28747132.0,0.026521677512175
6857 JP Equity,ADVANTEST CORP,152.3,28609492.0,0.026394692890099457
277810,레인보우로보틱스,71.0,28506500.0,0.026299673998812008
CLS US Equity,Celestica Inc,57.18,28078146.0,0.0259044809531527
AMD US Equity,ADVANCED MICRO DEVICES,73.34,27867209.0,0.02570987360625682
INTC US Equity,INTEL Corp,499.34,27768873.0,0.025619150271496426
035420,NAVER,96.0,25488000.0,0.02351485067902831
META US Equity,Meta Platforms Inc-CL A,27.65,24714785.0,0.022801493990869767
TER US Equity,TERADYNE INC,88.56,23301427.0,0.021497550867595677
WDC US Equity,WESTERN DIGITAL,80.89,19720953.0,0.018194258672439397
SEI US Equity,Solaris Energy Infrastructure Inc,267.99,18600524.0,0.01716056749888898
LRCX US Equity,LAM RESEARCH,77.07,18259126.0,0.016845598768815265
STX US Equity,SEAGATE TECHNOLOGY,43.37,18030674.0,0.01663483234275887
018260,삼성에스디에스,98.0,16914800.0,0.015605343544633868
FSLR US Equity,FIRST SOLAR INC,43.02,16891334.0,0.015583694161157955
SNOW US Equity,Snowflake Inc   - CL A,41.81,16557379.0,0.015275592232465437
SOFI US Equity,SOFI TECHNOLOGIES ORD,344.7,16295560.0,0.015034041907216987
HOOD US Equity,Robinhood Markets Inc,81.02,15813057.0,0.014588891797471883
ISRG US Equity,Intuitive Surgical Inc,17.33,14560403.0,0.01343321180051302
KLAC US Equity,KLA Corp,8.23,14482563.0,0.013361397771289245
GLW US Equity,CORNING INC,103.71,13548672.0,0.012499803789200088
IOT US Equity,Samsara Inc,228.91,13250704.0,0.01222490293283126
098460,고영,596.0,12337200.0,0.011382117694495765
CRDO US Equity,Credo Technology Group Holding Ltd,47.94,11281769.0,0.010408392711483463
0093D0,KoAct 팔란티어밸류체인액티브,825.0,10766250.0,0.00993278252993913
GEV US Equity,GE Vernova LLC,11.93,10075058.0,0.009295099044748492
SHLS US Equity,SHOALS TECHNOLOGIES GROUP -A,658.17,8626345.0,0.00795853792297483
160190,하이젠알앤엠,160.0,8096000.0,0.007469249493777981
IREN US Equity,IREN Ltd,93.34,7630628.0,0.007039904190490129
QCOM US Equity,QUALCOMM Inc,28.95,7506693.0,0.006925563598097421
AAPL US Equity,APPLE Inc,17.94,7200612.0,0.006643177808287013
PANW US Equity,PALO ALTO NETWORKS INC,22.46,6923872.0,0.006387861589795397
CCJ US Equity,CAMECO CORP,50.92,6918245.0,0.006382670203073376
OKLO US Equity,Oklo Inc,39.08,6376457.0,0.005882824631836347
VRT US Equity,Vertiv Holdings Co,19.0,4834647.0,0.00446037359898039
454910,두산로보틱스,52.0,4217200.0,0.0038907261567638963
307950,현대오토에버,20.0,3812000.0,0.003516894648009099
LEU US Equity,Centrus Energy Corp,8.6,3478683.0,0.0032093813286516886
