티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1055651355.0,1055651355.0,0.0
KRD010010001,원화현금,482714.0,482714.0,0.0
AVGO US Equity,BROADCOM LTD,141.01,80720195.0,0.07649980473595215
TSLA US Equity,TESLA MOTORS,111.34,74312713.0,0.0704273327622518
NVDA US Equity,NVIDIA Corp,244.94,65540366.0,0.06211364084691368
GOOG US Equity,ALPHABET INC-CL C,132.23,62475213.0,0.059208746898307414
GOOGL US Equity,ALPHABET INC-CL A,116.41,54860652.0,0.051992307076153904
PLTR US Equity,Palantir Technologies Inc -A,146.85,39153696.0,0.03710657659698209
005930,삼성전자,322.0,35259000.0,0.033415511634789
BE US Equity,BLOOM ENERGY CORPORATION,199.16,34818175.0,0.03299773481422104
TER US Equity,TERADYNE INC,110.03,32404881.0,0.03071061794377189
AKAM US Equity,Akamai Technologies Inc,253.78,31080812.0,0.02945577682307183
CLS US Equity,Celestica Inc,64.36,30691644.0,0.029086956157939877
AMZN US Equity,Amazon.com Inc,90.99,30636110.0,0.02903432570832059
MU US Equity,MICRON TECH,86.99,30270607.0,0.028687932737758458
LITE US Equity,Lumentum Holdings Inc,58.75,28561038.0,0.027067747173506077
277810,레인보우로보틱스,61.0,27175500.0,0.0257546509098729
6857 JP Equity,ADVANTEST CORP,135.99,25954461.0,0.024597452948755705
LRCX US Equity,LAM RESEARCH,90.83,21144954.0,0.020039407141554732
SNOW US Equity,Snowflake Inc   - CL A,62.78,21069724.0,0.019968110481403133
AMD US Equity,ADVANCED MICRO DEVICES,63.46,20290712.0,0.019229828495253773
KLAC US Equity,KLA Corp,11.18,19917073.0,0.01887572490888686
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,83.44,19378072.0,0.018364905141262627
CCJ US Equity,CAMECO CORP,132.32,17715525.0,0.01678928306968137
035420,NAVER,63.0,15687000.0,0.014866817862529712
MSFT US Equity,MICROSOFT,21.17,15004182.0,0.014219700450707386
SNDK US Equity,Sandisk Corp/DE,44.3,14846819.0,0.014070565048189296
INTC US Equity,INTEL Corp,239.85,14569527.0,0.013807771036667872
FSLR US Equity,FIRST SOLAR INC,38.41,14514682.0,0.013755793563239528
0093D0,KoAct 팔란티어밸류체인액티브,1129.0,14293140.0,0.013545834707951674
6758 JP Equity,SONY GROUP,343.61,14063969.0,0.013328645728773132
VRT US Equity,Vertiv Holdings Co,48.55,13461625.0,0.012757794798793683
LEU US Equity,Centrus Energy Corp,34.06,13301546.0,0.012606085400144108
META US Equity,Meta Platforms Inc-CL A,12.94,12782646.0,0.012114315667953972
COHR US Equity,COHERENT CORP,47.86,12762718.0,0.012095429587354463
WDC US Equity,WESTERN DIGITAL,48.29,11963593.0,0.011338086193181322
GLW US Equity,CORNING INC,92.6,11677729.0,0.011067168361763321
GEV US Equity,GE Vernova LLC,10.65,9862787.0,0.009347119139792555
APP US Equity,AppLovin Corp,9.57,9713614.0,0.009205745529732816
ASML US Equity,ASML HOLDING,5.96,9612362.0,0.009109787408854582
ANET US Equity,ARISTA NETWORKS,50.49,9523861.0,0.009025913612229876
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,18.73,8097442.0,0.007674073778695627
5803 JP Equity,Fujikura Ltd,48.0,7823192.0,0.0074141627186587325
6981 JP Equity,MURATA MFG CO,235.59,7521400.0,0.007128149669868743
QCOM US Equity,QUALCOMM Inc,25.85,6628684.0,0.006282108605613877
108490,로보티즈,14.0,4025000.0,0.0038145561226928084
