티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1639332858.0,1639332858.0,0.0
KRD010010001,원화현금,54506543.0,54506543.0,0.0
INTC US Equity,INTEL Corp,738.08,123224994.0,0.07775299591741067
AMD US Equity,ADVANCED MICRO DEVICES,190.33,118745086.0,0.07492624578233356
NVDA US Equity,NVIDIA Corp,351.75,116927028.0,0.07377908032780235
SNDK US Equity,Sandisk Corp/DE,50.95,106197192.0,0.06700872581106782
ARM US Equity,ARM Holdings PLC,267.4,89911223.0,0.05673254043614237
BE US Equity,BLOOM ENERGY CORPORATION,214.49,84463397.0,0.053295049558790296
STX US Equity,SEAGATE TECHNOLOGY,60.93,67328367.0,0.04248312030331223
WDC US Equity,WESTERN DIGITAL,89.35,61365529.0,0.038720665109602245
CBRS US Equity,Cerebras Systems Inc,129.76,59366456.0,0.03745928209174139
MU US Equity,MICRON TECH,47.85,50379419.0,0.0317886058069398
005930,삼성전자,157.0,43332000.0,0.02734179738806268
SATS US Equity,EchoStar Corp,207.93,42772934.0,0.026989035703890368
MRVL US Equity,MARVELL TECHNOLOGY INC,134.2,35644007.0,0.022490797043586443
ALAB US Equity,Astera Labs Inc,96.2,35406503.0,0.02234093582677544
GOOGL US Equity,ALPHABET INC-CL A,58.67,34270677.0,0.021624247828065626
LITE US Equity,Lumentum Holdings Inc,24.9,33395571.0,0.02107206997001435
RKLB US Equity,Rocket Lab USA Inc,172.0,32994881.0,0.020819241003074838
CRCL US Equity,Circle Internet Group Inc,191.77,32083121.0,0.02024393505858716
LUNR US Equity,Intuitive Machines Inc,651.33,31857024.0,0.02010127147592195
COIN US Equity,COINBASE GLOBAL INC -CLASS A,91.61,26703441.0,0.016849443214854747
CIEN US Equity,Ciena Corp,32.58,26603689.0,0.016786501301879253
440110,파두,232.0,26030400.0,0.016424765132701625
FTNT US Equity,FORTINET INC,134.0,25771945.0,0.01626168417073514
ZS US Equity,ZSCALER INC,97.0,25614469.0,0.016162319339075335
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,27.0,25096899.0,0.015835740965722166
PANW US Equity,PALO ALTO NETWORKS INC,68.0,24604296.0,0.015524916369147997
6857 JP Equity,ADVANTEST CORP,96.82,23208110.0,0.014643945384008846
COHR US Equity,COHERENT CORP,43.49,23173632.0,0.014622190318691169
000660,SK하이닉스,13.0,22685000.0,0.014313871359461872
356860,티엘비,227.0,21315300.0,0.013449612615752156
011070,LG이노텍,26.0,19760000.0,0.012468243247210341
285A JP Equity,Kioxia Holdings Corp,33.0,15567090.0,0.009822584249555448
CRWV US Equity,Coreweave Inc,81.78,12299197.0,0.007760596150878527
5803 JP Equity,Fujikura Ltd,243.57,10838901.0,0.006839172783422643
NBIS US Equity,YANDEX NV-A,35.61,10609627.0,0.006694504564684743
TSEM US Equity,Tower Semiconductor Ltd,22.0,8329831.0,0.00525598983381343
AVGO US Equity,BROADCOM LTD,12.45,7711533.0,0.004865853707130046
AAOI US Equity,Applied Optoelectronics Inc,27.77,7169104.0,0.004523589703266632
108490,로보티즈,24.0,6204000.0,0.003914624549883247
TSLA US Equity,TESLA MOTORS,10.18,6198733.0,0.003911301157313254
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,9.22,5454411.0,0.0034416459067945246
GEV US Equity,GE Vernova LLC,1.96,2988177.0,0.001885491786524254
AMZN US Equity,Amazon.com Inc,3.13,1223121.0,0.0007717697443710101
