티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1450649385.0,1450649385.0,0.0
KRD010010001,원화현금,16200401.0,16200401.0,0.0
PLTR US Equity,Palantir Technologies Inc -A,552.0,136955702.0,0.09547617484317587
SNOW US Equity,Snowflake Inc   - CL A,277.98,131735202.0,0.09183679828937019
MDB US Equity,MONGODB INC,137.44,81084522.0,0.05652659864827929
NTAP US Equity,NETAPP INC,266.54,74995732.0,0.052281909525197866
BABA US Equity,ALIBABA GROUP HOLDING-SP ADR,276.02,51712868.0,0.03605068467182239
6857 JP Equity,ADVANTEST CORP,140.14,42694158.0,0.029763455149827762
BE US Equity,BLOOM ENERGY CORPORATION,136.5,40708533.0,0.028379212822531443
AMD US Equity,ADVANCED MICRO DEVICES,60.28,40077158.0,0.02793906123328538
NET US Equity,Cloudflare Inc,90.0,39578794.0,0.027591635841682886
058610,에스피지,340.0,38760000.0,0.027020828507903213
285A JP Equity,Kioxia Holdings Corp,88.68,37859631.0,0.026393152647665022
AAOI US Equity,Applied Optoelectronics Inc,200.35,37674951.0,0.026264406347127366
108490,로보티즈,145.0,35307500.0,0.02461398097375626
INTC US Equity,INTEL Corp,222.34,30700388.0,0.02140221669953792
NOW US Equity,SERVICENOW INC,166.0,29953421.0,0.02088148225144548
DDOG US Equity,DATADOG INC - CLASS A,81.06,29930464.0,0.020865478196748475
009150,삼성전기,22.0,27764000.0,0.019355167252152344
0162L0,KODEX 차이나AI반도체TOP10,2010.0,27677700.0,0.01929500477794615
PANW US Equity,PALO ALTO NETWORKS INC,50.44,27498785.0,0.019170277442226553
277810,레인보우로보틱스,57.0,27360000.0,0.01907352600557874
010170,대한광통신,1941.0,26106450.0,0.01819963643963235
LRCX US Equity,LAM RESEARCH,57.35,24880251.0,0.017344814125505353
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,70.35,22427864.0,0.01563517716570114
CRWV US Equity,Coreweave Inc,178.66,22308956.0,0.015552282617811105
AKAM US Equity,Akamai Technologies Inc,130.0,21655482.0,0.015096725112951107
LITE US Equity,Lumentum Holdings Inc,18.6,21424387.0,0.014935621439988415
005930,삼성전자,85.0,20357500.0,0.014191860586936007
ALAB US Equity,Astera Labs Inc,44.43,19956443.0,0.013912270999245241
000660,SK하이닉스,14.0,19950000.0,0.01390777937906783
NBIS US Equity,YANDEX NV-A,75.36,19644946.0,0.013695116535423612
095610,테스,131.0,19126000.0,0.01333334277714543
5801 JP Equity,Furukawa Electric Co Ltd,517.85,18198680.0,0.012686878517807225
DELL US Equity,Dell Technologies Inc,23.86,15468731.0,0.01078374426176177
DT US Equity,DYNATRACE INC,206.0,14750024.0,0.010282710758293514
OKTA US Equity,OKTA INC,68.38,14597437.0,0.010176337508563497
TEAM US Equity,ATLASSIAN CORP PLC-CLASS A,66.0,14192160.0,0.009893806024683273
ARM US Equity,ARM Holdings PLC,36.94,14009451.0,0.00976643377092036
SNDK US Equity,Sandisk Corp/DE,7.97,13969584.0,0.009738641217511574
FTNT US Equity,FORTINET INC,59.85,13915420.0,0.009700881770780354
NVDA US Equity,NVIDIA Corp,44.0,13553277.0,0.009448420369894451
TER US Equity,TERADYNE INC,22.05,11398639.0,0.007946353705946785
COHR US Equity,COHERENT CORP,23.46,10800512.0,0.007529380354735571
327260,RF머트리얼즈,275.0,10560000.0,0.007361711791626881
MRVL US Equity,MARVELL TECHNOLOGY INC,35.76,10559931.0,0.007361663689532789
4062 JP Equity,IBIDEN,59.12,10451287.0,0.00728592450242204
MU US Equity,MICRON TECH,6.36,7753411.0,0.005405149354548255
6981 JP Equity,MURATA MFG CO,81.22,5273801.0,0.0036765343757948522
STX US Equity,SEAGATE TECHNOLOGY,4.04,4581851.0,0.0031941540278577103
356860,티엘비,90.0,2547000.0,0.0017755946906509155
