티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1710201201.0,1710201201.0,0.0
KRD010010001,원화현금,72748436.0,72748436.0,0.0
INTC US Equity,INTEL Corp,729.39,130681637.0,0.07980788196965181
AMD US Equity,ADVANCED MICRO DEVICES,188.09,126791513.0,0.07743216519592246
NVDA US Equity,NVIDIA Corp,347.61,116994460.0,0.07144905947867143
SNDK US Equity,Sandisk Corp/DE,50.35,105600797.0,0.06449089662748225
ARM US Equity,ARM Holdings PLC,264.25,102175183.0,0.06239885826569171
BE US Equity,BLOOM ENERGY CORPORATION,211.96,90122655.0,0.05503832350241871
STX US Equity,SEAGATE TECHNOLOGY,60.22,68120052.0,0.041601231776600286
WDC US Equity,WESTERN DIGITAL,88.3,61124234.0,0.03732885326924224
CBRS US Equity,Cerebras Systems Inc,128.24,56144524.0,0.03428772127054303
MU US Equity,MICRON TECH,47.29,52134867.0,0.0318390051391803
005930,삼성전자,155.0,46422500.0,0.02835043611166396
SATS US Equity,EchoStar Corp,205.48,43883332.0,0.02679975443444318
ALAB US Equity,Astera Labs Inc,95.06,41158473.0,0.025135670402071108
MRVL US Equity,MARVELL TECHNOLOGY INC,132.62,37311241.0,0.022786147971724853
RKLB US Equity,Rocket Lab USA Inc,169.98,34376603.0,0.020993950930853263
GOOGL US Equity,ALPHABET INC-CL A,57.98,33961051.0,0.02074017139663873
LUNR US Equity,Intuitive Machines Inc,643.67,32640754.0,0.019933859893662337
LITE US Equity,Lumentum Holdings Inc,24.61,32175119.0,0.019649494439004475
CRCL US Equity,Circle Internet Group Inc,189.52,31860374.0,0.019457278207350305
CIEN US Equity,Ciena Corp,32.19,26895518.0,0.016425217615361257
440110,파두,229.0,26724300.0,0.01632065398845261
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,26.68,26123206.0,0.015953563094078013
COIN US Equity,COINBASE GLOBAL INC -CLASS A,90.53,26081862.0,0.015928314121476352
FTNT US Equity,FORTINET INC,132.42,25926909.0,0.01583368360552373
000660,SK하이닉스,13.0,25220000.0,0.015401970999755831
ZS US Equity,ZSCALER INC,95.86,25186174.0,0.015381313304631416
PANW US Equity,PALO ALTO NETWORKS INC,67.2,24964438.0,0.015245898100761398
356860,티엘비,224.0,23744000.0,0.014500570952347441
6857 JP Equity,ADVANTEST CORP,95.68,23216339.0,0.014178325931740694
COHR US Equity,COHERENT CORP,42.98,23206485.0,0.014172308048226357
011070,LG이노텍,26.0,21788000.0,0.013306032678139573
285A JP Equity,Kioxia Holdings Corp,32.61,15837703.0,0.009672158695826563
CRWV US Equity,Coreweave Inc,80.82,12328105.0,0.007528830915620336
NBIS US Equity,YANDEX NV-A,35.19,10166394.0,0.006208663979385079
5803 JP Equity,Fujikura Ltd,240.71,9789623.0,0.005978568181782025
TSEM US Equity,Tower Semiconductor Ltd,21.74,8659766.0,0.005288559270288325
AVGO US Equity,BROADCOM LTD,12.3,7739016.0,0.00472625297377662
108490,로보티즈,24.0,7284000.0,0.0044483725916820566
AAOI US Equity,Applied Optoelectronics Inc,27.45,6832252.0,0.004172487992348286
TSLA US Equity,TESLA MOTORS,10.06,6322058.0,0.003860910149673844
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,9.11,5510455.0,0.003365260432413145
GEV US Equity,GE Vernova LLC,1.94,2993477.0,0.0018281302911354515
AMZN US Equity,Amazon.com Inc,3.09,1233316.0,0.0007531918027571318
