티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1843995260.0,1843995260.0,0.0
KRD010010001,원화현금,20407508.0,20407508.0,0.0
SPCX US Equity,Space Exploration Technologies Corp,651.77,158517988.0,0.0869264381854655
SNDK US Equity,Sandisk Corp/DE,46.63,139522980.0,0.07651015414365428
AMD US Equity,ADVANCED MICRO DEVICES,164.77,127372717.0,0.06984731985631366
ARM US Equity,ARM Holdings PLC,217.11,124934210.0,0.06851011686329861
INTC US Equity,INTEL Corp,524.32,98696805.0,0.054122322817618924
BE US Equity,BLOOM ENERGY CORPORATION,180.78,71086029.0,0.03898141393088277
MU US Equity,MICRON TECH,46.12,68410297.0,0.03751412397071199
SNOW US Equity,Snowflake Inc   - CL A,189.13,66527207.0,0.03648149474958746
005930,삼성전자,193.0,65041000.0,0.0356665040816747
LITE US Equity,Lumentum Holdings Inc,45.34,63139092.0,0.03462355564230616
WDC US Equity,WESTERN DIGITAL,71.64,60939560.0,0.033417399263164164
STX US Equity,SEAGATE TECHNOLOGY,35.98,50620065.0,0.027758502405208083
NTAP US Equity,NETAPP INC,201.34,49169014.0,0.026962790217292486
MRVL US Equity,MARVELL TECHNOLOGY INC,116.17,49099793.0,0.02692483152848024
DELL US Equity,Dell Technologies Inc,79.65,47610455.0,0.02610812391549776
285A JP Equity,Kioxia Holdings Corp,55.81,42769051.0,0.023453245369241763
000660,SK하이닉스,17.0,38896000.0,0.021329382124518678
399720,가온칩스,509.0,30132800.0,0.01652391005968985
NBIS US Equity,YANDEX NV-A,82.14,28840930.0,0.015815487885553644
FTNT US Equity,FORTINET INC,125.77,27804468.0,0.015247123682151162
HPE US Equity,HEWLETT PACKARD ENTERPRIS,352.51,25659092.0,0.014070664804508953
PANW US Equity,PALO ALTO NETWORKS INC,60.7,25647800.0,0.01406447261551908
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,24.29,25061913.0,0.013743190023355674
TER US Equity,TERADYNE INC,41.0,24980296.0,0.013698433745567293
LRCX US Equity,LAM RESEARCH,43.0,23834323.0,0.013070017044071482
6857 JP Equity,ADVANTEST CORP,90.87,23433775.0,0.012850368716448804
ASML US Equity,ASML HOLDING,8.0,22528083.0,0.012353714799461978
440110,파두,218.0,22454000.0,0.012313089937884162
MDB US Equity,MONGODB INC,41.08,21279648.0,0.01166911105685031
CIEN US Equity,Ciena Corp,30.58,20608485.0,0.011301065702704938
DDOG US Equity,DATADOG INC - CLASS A,59.23,20576613.0,0.011283588068319073
ALAB US Equity,Astera Labs Inc,33.27,18458208.0,0.010121919265884606
SATS US Equity,EchoStar Corp,103.98,17924726.0,0.00982937398013408
CRCL US Equity,Circle Internet Group Inc,146.36,17215452.0,0.009440429713963115
COIN US Equity,COINBASE GLOBAL INC -CLASS A,66.76,16118771.0,0.008839043244462413
COHR US Equity,COHERENT CORP,23.73,13806560.0,0.007571097132483921
356860,티엘비,115.0,11661000.0,0.006394537354844002
011070,LG이노텍,9.0,10881000.0,0.005966809103683868
CRWV US Equity,Coreweave Inc,66.92,10167898.0,0.005575765678864902
5803 JP Equity,Fujikura Ltd,228.6,9182044.0,0.005035153361788975
108490,로보티즈,23.0,7636000.0,0.004187349904947157
AAOI US Equity,Applied Optoelectronics Inc,26.07,6659619.0,0.0036519322926446152
TSLA US Equity,TESLA MOTORS,9.56,5871334.0,0.0032196607997397866
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,8.65,5541195.0,0.0030386226239580492
RKLB US Equity,Rocket Lab USA Inc,30.08,4654023.0,0.002552124511088513
GEV US Equity,GE Vernova LLC,1.84,2615433.0,0.0014342238245083365
