티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1334925661.0,1334925661.0,0.0
KRD010010001,원화현금,11485349.0,11485349.0,0.0
SNDK US Equity,Sandisk Corp/DE,106.99,150946092.0,0.11405583661864457
LITE US Equity,Lumentum Holdings Inc,92.78,119722552.0,0.09046312925066771
BE US Equity,BLOOM ENERGY CORPORATION,281.02,73538326.0,0.055566031450914426
WDC US Equity,WESTERN DIGITAL,135.63,70345447.0,0.053153471571145555
CIEN US Equity,Ciena Corp,91.62,65126050.0,0.049209661674564434
ARM US Equity,ARM Holdings PLC,203.35,47463414.0,0.03586366046858032
COHR US Equity,COHERENT CORP,103.42,47170473.0,0.0356423123674655
AAOI US Equity,Applied Optoelectronics Inc,182.25,41353441.0,0.031246925626367047
INTC US Equity,INTEL Corp,421.23,40667488.0,0.030728615133796832
GLW US Equity,CORNING INC,152.97,39689872.0,0.029989922205120197
MRVL US Equity,MARVELL TECHNOLOGY INC,186.39,36249417.0,0.027390292309608898
AMD US Equity,ADVANCED MICRO DEVICES,97.71,35723225.0,0.02699269825475892
TSEM US Equity,Tower Semiconductor Ltd,112.27,34833672.0,0.026320546294497336
005930,삼성전자,165.0,34072500.0,0.025745399842407098
TER US Equity,TERADYNE INC,60.21,33009323.0,0.024942056472585367
ASML US Equity,ASML HOLDING,14.57,32375942.0,0.02446346972087699
LRCX US Equity,LAM RESEARCH,77.07,30516204.0,0.023058239743266942
AVGO US Equity,BROADCOM LTD,53.39,30031111.0,0.022691700356789496
MU US Equity,MICRON TECH,41.35,26125784.0,0.019740810192277112
6857 JP Equity,ADVANTEST CORP,108.44,25102072.0,0.018967286829932983
KLAC US Equity,KLA Corp,8.75,22924273.0,0.017321727917866233
KEYS US Equity,KEYSIGHT TECH,44.71,21927578.0,0.016568618774248128
AXTI US Equity,AXT Inc,217.11,21367604.0,0.01614549882322158
VRT US Equity,Vertiv Holdings Co,43.12,19158248.0,0.01447609523926909
0093D0,KoAct 팔란티어밸류체인액티브,1053.0,15863445.0,0.011986520930458102
FIX US Equity,Comfort Systems USA Inc,6.56,15816895.0,0.011951347451474638
NVDA US Equity,NVIDIA Corp,55.57,15582159.0,0.01177397942220155
NBIS US Equity,YANDEX NV-A,67.2,15384383.0,0.011624538606316837
RMBS US Equity,Rambus Inc,87.47,14661073.0,0.011078000924608377
5803 JP Equity,Fujikura Ltd,272.8,14462271.0,0.010927784856533824
FORM US Equity,FormFactor Inc,75.73,14382601.0,0.010867585692825714
AEHR US Equity,Aehr Test Systems,134.4,14265591.0,0.01077917218528855
AMZN US Equity,Amazon.com Inc,39.47,14024680.0,0.01059713828635439
FN US Equity,Fabrinet,13.35,13641898.0,0.010307905748604702
META US Equity,Meta Platforms Inc-CL A,13.87,13035939.0,0.009850039236223598
011070,LG이노텍,29.0,10744500.0,0.008118613210264672
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,16.65,9114327.0,0.0068868440211151735
STX US Equity,SEAGATE TECHNOLOGY,10.59,8051262.0,0.006083585279212804
COIN US Equity,COINBASE GLOBAL INC -CLASS A,28.59,7390910.0,0.005584619066673858
108490,로보티즈,27.0,6682500.0,0.005049339920665799
GEV US Equity,GE Vernova LLC,4.31,6327282.0,0.004780934918355426
TSLA US Equity,TESLA MOTORS,10.54,5501927.0,0.004157291379227687
ASTS US Equity,AST SpaceMobile Inc,34.72,5089756.0,0.003845852324316988
PL US Equity,Planet Labs PBC,78.23,3976805.0,0.003004899400404542
