티커,구성종목명,계약수,평가금액,비중
CASH00000001,설정현금액,1771843224.0,1771843224.0,0.0
KRD010010001,원화현금,87672529.0,87672529.0,0.0
AMD US Equity,ADVANCED MICRO DEVICES,192.22,137609010.0,0.08170728205195377
ARM US Equity,ARM Holdings PLC,253.28,133325971.0,0.079164167501442
SNDK US Equity,Sandisk Corp/DE,54.4,130209457.0,0.0773136935505222
BE US Equity,BLOOM ENERGY CORPORATION,210.91,85342907.0,0.050673549452776814
INTC US Equity,INTEL Corp,532.36,81039006.0,0.04811804779681195
SNOW US Equity,Snowflake Inc   - CL A,220.65,80698125.0,0.04791564491626545
MU US Equity,MICRON TECH,53.8,71352537.0,0.0423665708065298
LITE US Equity,Lumentum Holdings Inc,52.9,70130487.0,0.04164096145848209
WDC US Equity,WESTERN DIGITAL,83.57,65643416.0,0.0389767000428659
NTAP US Equity,NETAPP INC,234.89,60227299.0,0.035760804518689245
005930,삼성전자,198.0,58509000.0,0.034740540358351266
DELL US Equity,Dell Technologies Inc,92.92,56252713.0,0.033400838268356166
MRVL US Equity,MARVELL TECHNOLOGY INC,135.53,54811916.0,0.03254534481731972
STX US Equity,SEAGATE TECHNOLOGY,41.98,54610373.0,0.03242567583091689
285A JP Equity,Kioxia Holdings Corp,65.11,48729437.0,0.028933787498303432
NBIS US Equity,YANDEX NV-A,95.83,33510634.0,0.019897409508125897
FTNT US Equity,FORTINET INC,146.72,32584135.0,0.019347287716581483
000660,SK하이닉스,17.0,32487000.0,0.019289612446320353
HPE US Equity,HEWLETT PACKARD ENTERPRIS,411.25,31058422.0,0.01844137419811832
PANW US Equity,PALO ALTO NETWORKS INC,70.82,29574201.0,0.017560097137303533
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,28.34,29190644.0,0.017332354782482424
6857 JP Equity,ADVANTEST CORP,106.01,27175927.0,0.016136088272216374
CIEN US Equity,Ciena Corp,35.67,26731181.0,0.01587201408940321
MDB US Equity,MONGODB INC,47.92,25799452.0,0.015318786911916906
DDOG US Equity,DATADOG INC - CLASS A,69.1,24831696.0,0.01474416819727409
440110,파두,223.0,23771800.0,0.014114840063762063
SATS US Equity,EchoStar Corp,121.3,21650812.0,0.012855473654943272
CRCL US Equity,Circle Internet Group Inc,170.75,21041488.0,0.012493678973555588
ALAB US Equity,Astera Labs Inc,38.82,18893193.0,0.011218098650030246
COIN US Equity,COINBASE GLOBAL INC -CLASS A,77.88,18218779.0,0.010817655867120999
COHR US Equity,COHERENT CORP,27.68,16017852.0,0.009510824554514649
5803 JP Equity,Fujikura Ltd,266.7,12125859.0,0.007199899057737731
CRWV US Equity,Coreweave Inc,78.07,12030481.0,0.007143267030899145
356860,티엘비,118.0,10974000.0,0.006515966601592008
011070,LG이노텍,10.0,10950000.0,0.006501716264573764
AAOI US Equity,Applied Optoelectronics Inc,30.41,8262244.0,0.0049058233969568035
TSLA US Equity,TESLA MOTORS,11.15,6692062.0,0.003973505785290962
108490,로보티즈,23.0,6658500.0,0.003953577876499033
TSM US Equity,TAIWAN SEMICONDUCTOR-SP ADR,10.1,6436588.0,0.0038218145103160106
RKLB US Equity,Rocket Lab USA Inc,35.1,5930945.0,0.003521581878611182
GEV US Equity,GE Vernova LLC,2.15,3081146.0,0.0018294737042672507
