티커,구성종목명,계약수,평가금액,비중
SNDK US EQUITY,Sandisk Corp/DE,22.87,21994613.0,8.7
NVDA US EQUITY,NVIDIA Corp,69.36,18608482.0,7.36
BE US EQUITY,Bloom Energy Corp,61.4,13856975.0,5.48
AVGO US EQUITY,Broadcom Inc,27.78,13296923.0,5.26
GOOGL US EQUITY,Alphabet Inc,26.49,13161556.0,5.2
STX US EQUITY,Seagate Technology Holdings PLC,17.78,11128818.0,4.4
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,20.94,10331945.0,4.08
LRCX US EQUITY,Lam Research Corp,29.45,10109427.0,4.0
ASML US EQUITY,ASML Holding NV,3.71,7737488.0,3.06
1347 HK EQUITY,Hua Hong Semiconductor Ltd,357.17,6832595.0,2.7
COHR US EQUITY,Coherent Corp,19.4,6238120.0,2.47
TSLA US EQUITY,Tesla Inc,10.17,6203301.0,2.45
AMZN US EQUITY,Amazon.com Inc,17.33,6087179.0,2.41
GEV US EQUITY,GE Vernova Inc,5.45,5950850.0,2.35
9880 HK EQUITY,UBTech Robotics Corp Ltd,226.51,5464567.0,2.16
ENR GY EQUITY,Siemens Energy AG,21.0,5306032.0,2.1
KLAC US EQUITY,KLA Corp,2.46,5024779.0,1.99
9988 HK EQUITY,Alibaba Group Holding Ltd,166.14,5019393.0,1.98
META US EQUITY,Meta Platforms Inc,4.92,5019509.0,1.98
AMAT US EQUITY,Applied Materials Inc,10.12,4804074.0,1.9
2338 HK EQUITY,Weichai Power Co Ltd,999.9,4695080.0,1.86
FLNC US EQUITY,Fluence Energy Inc,103.32,4613268.0,1.82
CCJ US EQUITY,Cameco Corp,26.0,4517073.0,1.79
RKLB US EQUITY,Rocket Lab Corp,39.82,4267622.0,1.69
VRT US EQUITY,Vertiv Holdings Co,15.48,4251485.0,1.68
5803 JP EQUITY,Fujikura Ltd,21.49,3970612.0,1.57
AMD US EQUITY,Advanced Micro Devices Inc,11.09,3949252.0,1.56
PLTR US EQUITY,Palantir Technologies Inc,17.7,3779469.0,1.49
9888 HK EQUITY,Baidu Inc,136.23,3697478.0,1.46
CLS US EQUITY,Celestica Inc,8.7,3586830.0,1.42
MSFT US EQUITY,Microsoft Corp,4.24,2597349.0,1.03
700 HK EQUITY,Tencent Holdings Ltd,22.4,2480793.0,0.98
SNOW US EQUITY,Snowflake Inc,8.98,2474741.0,0.98
OKLO US EQUITY,Oklo Inc,21.29,2265418.0,0.9
002371 C2 EQUITY,NAURA Technology Group Co Ltd,23.46,2256467.0,0.89
INTC US EQUITY,Intel Corp,31.83,2245374.0,0.89
CRDO US EQUITY,Credo Technology Group Holding Ltd,12.3,2132152.0,0.84
IONQ US EQUITY,IonQ Inc,38.27,2132813.0,0.84
APP US EQUITY,AppLovin Corp,2.59,1809788.0,0.72
PANW US EQUITY,Palo Alto Networks Inc,6.5,1648343.0,0.65
034020,두산에너빌리티,14.82,1351156.0,0.53
KRD010010001,원화예금,6049768.0,6049768.0,2.39
