티커,구성종목명,계약수,평가금액,비중
SNDK US EQUITY,Sandisk Corp/DE,22.57,19775091.0,8.71
000660,SK하이닉스,14.0,11296822.0,4.98
GEV US EQUITY,GE Vernova Inc,8.36,10453820.0,4.61
CIEN US EQUITY,Ciena Corp,18.64,10407972.0,4.59
COIN US EQUITY,Coinbase Global Inc,41.93,10316531.0,4.54
VRT US EQUITY,Vertiv Holdings Co,25.57,9162085.0,4.04
STX US EQUITY,Seagate Technology Holdings PLC,14.4,7984608.0,3.52
LITE US EQUITY,Lumentum Holdings Inc,7.66,7673149.0,3.38
COHR US EQUITY,Coherent Corp,21.87,7351738.0,3.24
BE US EQUITY,Bloom Energy Corp,39.61,7243799.0,3.19
ASML US EQUITY,ASML Holding NV,3.05,5849816.0,2.58
006400,삼성SDI,14.2,5792647.0,2.55
KLAC US EQUITY,KLA Corp,2.72,5755479.0,2.54
AMAT US EQUITY,Applied Materials Inc,11.39,5629231.0,2.48
LRCX US EQUITY,Lam Research Corp,17.83,5453326.0,2.4
005930,삼성전자,30.65,5124051.0,2.26
CCJ US EQUITY,Cameco Corp,31.2,4910042.0,2.16
DELL US EQUITY,Dell Technologies Inc,18.48,4654849.0,2.05
TSEM US EQUITY,Tower Semiconductor Ltd,19.11,4636946.0,2.04
SNPS US EQUITY,Synopsys Inc,7.73,4532582.0,2.0
5803 JP EQUITY,Fujikura Ltd,87.96,3795987.0,1.67
IFX GY EQUITY,Infineon Technologies AG,56.89,3724892.0,1.64
AKAM US EQUITY,Akamai Technologies Inc,21.38,3605442.0,1.59
GLW US EQUITY,Corning Inc,18.01,3542220.0,1.56
KEYS US EQUITY,Keysight Technologies Inc,8.56,3529914.0,1.56
034020,두산에너빌리티,37.85,3474673.0,1.53
MTSI US EQUITY,MACOM Technology Solutions Holdings Inc,10.77,3453235.0,1.52
RKLB US EQUITY,Rocket Lab Corp,39.27,3447846.0,1.52
MRVL US EQUITY,Marvell Technology Inc,22.81,3064461.0,1.35
MTZ US EQUITY,MasTec Inc,6.35,2972610.0,1.31
TER US EQUITY,Teradyne Inc,6.92,2926901.0,1.29
6981 JP EQUITY,Murata Manufacturing Co Ltd,70.02,2370393.0,1.04
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,4.88,2363100.0,1.04
NVDA US EQUITY,NVIDIA Corp,9.29,2348458.0,1.03
PLTR US EQUITY,Palantir Technologies Inc,10.99,2313429.0,1.02
TSLA US EQUITY,Tesla Inc,4.27,2323542.0,1.02
ARM US EQUITY,ARM Holdings PLC,10.93,2291277.0,1.01
FIX US EQUITY,Comfort Systems USA Inc,1.16,2259275.0,1.0
FLY US EQUITY,Firefly Aerospace Inc,63.02,2277592.0,1.0
INTC US EQUITY,Intel Corp,36.01,2269537.0,1.0
FSLY US EQUITY,Fastly Inc,57.0,2225830.0,0.98
PL US EQUITY,Planet Labs PBC,48.74,2079875.0,0.92
005380,현대차,4.58,2040981.0,0.9
2513 HK EQUITY,Knowledge Atlas Technology JSC Ltd,10.3,1474836.0,0.65
JKS US EQUITY,JinkoSolar Holding Co Ltd,34.94,1289422.0,0.57
100 HK EQUITY,Minimax Group Inc,5.99,1185469.0,0.52
1347 HK EQUITY,Hua Hong Semiconductor Ltd,70.34,1119125.0,0.49
NVTS US EQUITY,Navitas Semiconductor Corp,90.98,1090058.0,0.48
347700,스피어,18.23,787746.0,0.35
KRD010010001,원화예금,1343447.0,1343447.0,0.59
