티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,73.12,11954699.0,7.84
US69608A1088,Palantir Technologies Inc,45.51,7022587.0,4.6
US11135F1012,Broadcom Inc,24.24,6934064.0,4.55
KYG875721634,Tencent Holdings Ltd,74.45,6550443.0,4.29
US36828A1016,GE Vernova Inc,11.31,6423955.0,4.21
US30303M1027,Meta Platforms Inc,7.49,6244005.0,4.09
US5949181045,Microsoft Corp,10.19,6166357.0,4.04
KYG017191142,Alibaba Group Holding Ltd,279.33,6086335.0,3.99
US02079K3059,Alphabet Inc,27.94,5906683.0,3.87
US21037T1097,Constellation Energy Corp,13.48,5047703.0,3.31
US92537N1081,Vertiv Holdings Co,35.47,4732039.0,3.1
US8334451098,Snowflake Inc,19.64,4677522.0,3.07
US92840M1027,Vistra Corp,23.53,4584054.0,3.0
US0231351067,Amazon.com Inc,16.38,4317028.0,2.83
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,17.62,4296080.0,2.82
US79466L3024,Salesforce Inc,9.7,3768997.0,2.47
DE000ENER6YA,Siemens Energy AG,33.33,3727679.0,2.44
US26441C2044,Duke Energy Corp,21.14,3619497.0,2.37
US37954Y6326,Global X Artificial Intelligence & Technology ETF,66.37,3512280.0,2.3
US6974351057,Palo Alto Networks Inc,11.74,3084770.0,2.02
US88160R1014,Tesla Inc,7.77,2997728.0,1.96
JP3933800009,LY Corp,520.61,2749719.0,1.8
US22788C1053,Crowdstrike Holdings Inc,4.35,2564897.0,1.68
US64110L1061,Netflix Inc,1.53,2469520.0,1.62
KYG9830T1067,Xiaomi Corp,272.13,2449036.0,1.61
US0527691069,Autodesk Inc,6.04,2392142.0,1.57
KYG4602S1057,Horizon Robotics Inc,1774.62,2320680.0,1.52
US03831W1080,AppLovin Corp,5.41,2292317.0,1.5
TW0002454006,MediaTek Inc,38.81,2277314.0,1.49
DE000723610A,Siemens AG,6.8,2241021.0,1.47
US0420682058,ARM Holdings PLC,12.75,2211983.0,1.45
CNE100000296,BYD Co Ltd,31.65,2185369.0,1.43
KYG596691041,Meituan,72.45,1809043.0,1.19
US23804L1035,Datadog Inc,10.31,1527237.0,1.0
CA15101Q2071,Celestica Inc,11.32,1526510.0,1.0
USN070592100,ASML Holding NV,1.54,1510653.0,0.99
JP3811000003,Fujikura Ltd,27.25,1496395.0,0.98
US25746U1097,Dominion Energy Inc,19.3,1486625.0,0.97
US5738741041,Marvell Technology Inc,17.8,1399738.0,0.92
US4581401001,Intel Corp,26.6,754416.0,0.49
KRD010010001,원화예금,3242017.0,3242017.0,2.13
