티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,39.98,25690989,8.65
US5949181045,Microsoft Corp,22.72,15273567,5.14
US4581401001,Intel Corp,114.79,14797260,4.98
US67066G1040,NVIDIA Corp,43.54,13497302,4.55
US0231351067,Amazon.com Inc,37.63,13088569,4.41
US02079K3059,Alphabet Inc,28.38,12923211,4.35
JP3236330001,Kioxia Holdings Corp,23.04,11998928,4.04
US5738741041,Marvell Technology Inc,39.35,11836210,3.99
US0494681010,Atlassian Corp,35.65,9095480,3.06
US7707001027,Robinhood Markets Inc,54,8872454,2.99
KR7009150004,삼성전기,6.41,8786745,2.96
US80004C2008,Sandisk Corp,3.71,8697135,2.93
US69608A1088,Palantir Technologies Inc,36.22,8495475,2.86
JP3914400001,Murata Manufacturing Co Ltd,122.93,8196191,2.76
US9581021055,Western Digital Corp,11.08,6969248,2.35
IE00BKVD2N49,Seagate Technology Holdings PLC,6.04,6908053,2.33
US78392B2060,SK hynix Inc,27.3,6501017,2.19
US5951121038,Micron Technology Inc,4.71,6448469,2.17
US8334451098,Snowflake Inc,13.23,6004192,2.02
US55024U1097,Lumentum Holdings Inc,4.89,5799157,1.95
US81762P1021,ServiceNow Inc,29.52,5610950,1.89
KYG6181S1093,Minimax Group Inc,89.34,5378808,1.81
CNE100007DH9,Z AI Co Ltd,30.2,5276758,1.78
US60937P1066,MongoDB Inc,9.6,4762870,1.6
US0420682058,ARM Holdings PLC,13.4,4547003,1.53
US03823U1025,Applied Optoelectronics Inc,30.85,4380709,1.48
US0326541051,Analog Devices Inc,8.52,4152779,1.4
US04626A1034,Astera Labs Inc,9.43,3940112,1.33
US6792951054,Okta Inc,16.88,3874657,1.31
KYG254571055,Credo Technology Group Holding Ltd,15.44,3542762,1.19
US22788C1053,Crowdstrike Holdings Inc,11.57,3318667,1.12
KR7005930003,삼성전자,11.76,3168893,1.07
US30303M1027,Meta Platforms Inc,3.84,3184856,1.07
US68389X1054,Oracle Corp,14.72,3144864,1.06
DE000623100B,Infineon Technologies AG,31.42,2987416,1.01
US19247G1076,Coherent Corp,7.81,2963623,1
US5128073062,Lam Research Corp,7.09,2933881,0.99
US1725731079,Circle Internet Group Inc,20.82,2858661,0.96
US6974351057,Palo Alto Networks Inc,5.76,2583712,0.87
US1717793095,Ciena Corp,5.9,2548685,0.86
IL0010823792,Tower Semiconductor Ltd,5.34,1599005,0.54
USN070592100,ASML Holding NV,0.65,1492317,0.5
KYG3323L1005,Fabrinet,2.65,1450335,0.49
CNE100000MLA,NAURA Technology Group Co Ltd,8.55,1132857,0.38
US84615Q1031,Space Exploration Technologies Corp,2.3,457536,0.15
KRD010010001,원화예금,5699497,5699497,1.92
