티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,77.2,63759665.0,13.7
US80004C2008,Sandisk Corp,17.48,58695098.0,12.61
US5951121038,Micron Technology Inc,28.28,49290992.0,10.59
KR7000660001,SK하이닉스,8.19,23895228.0,5.14
JP3236330001,Kioxia Holdings Corp,22.38,23104976.0,4.97
KR7005930003,삼성전자,63.02,22275912.0,4.79
JP3914400001,Murata Manufacturing Co Ltd,199.06,22235488.0,4.78
US4581401001,Intel Corp,107.23,22082434.0,4.75
US0420682058,ARM Holdings PLC,32.5,21950136.0,4.72
IE00BKVD2N49,Seagate Technology Holdings PLC,12.45,20479449.0,4.4
US0937121079,Bloom Energy Corp,30.38,15356583.0,3.3
US92537N1081,Vertiv Holdings Co,29.35,15022302.0,3.23
US36828A1016,GE Vernova Inc,8.81,15027443.0,3.23
US5738741041,Marvell Technology Inc,21.93,10466529.0,2.25
DE000623100B,Infineon Technologies AG,56.87,8206743.0,1.76
US9581021055,Western Digital Corp,6.13,7031688.0,1.51
US0326541051,Analog Devices Inc,10.44,6968666.0,1.5
KR7267260008,HD현대일렉트릭,5.89,6083628.0,1.31
US0382221051,Applied Materials Inc,5.94,5636245.0,1.21
US5128073062,Lam Research Corp,9.42,5634435.0,1.21
US4824801009,KLA Corp,12.25,4886943.0,1.05
US84615Q1031,Space Exploration Technologies Corp,16.61,4724012.0,1.02
US6833441057,Onto Innovation Inc,9.15,4694847.0,1.01
US8807701029,Teradyne Inc,6.98,4697311.0,1.01
KYG393871085,GLOBALFOUNDRIES Inc,35.79,4721331.0,1.01
US00971T1016,Akamai Technologies Inc,20.86,4004810.0,0.86
US21873S1087,CoreWeave Inc,21.39,3877751.0,0.83
US68389X1054,Oracle Corp,7.87,2230331.0,0.48
IL0010823792,Tower Semiconductor Ltd,4.9,2159472.0,0.46
US4592001014,International Business Machines Corp,5.51,2108247.0,0.45
US2193501051,Corning Inc,6.42,1923176.0,0.41
US19247G1076,Coherent Corp,3.14,1883054.0,0.4
US55024U1097,Lumentum Holdings Inc,1.36,1777325.0,0.38
