티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,18.79,22666954.0,16.85
US5949181045,Microsoft Corp,13.96,7933293.0,5.9
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,29.37,5554326.0,4.13
US30303M1027,Meta Platforms Inc,8.03,5384874.0,4.0
US11135F1012,Broadcom Inc,2.97,5365286.0,3.99
US0231351067,Amazon.com Inc,21.68,5284831.0,3.93
US92537N1081,Vertiv Holdings Co,47.76,5203110.0,3.87
US5951121038,Micron Technology Inc,27.03,4475820.0,3.33
US0079031078,Advanced Micro Devices Inc,15.29,3686137.0,2.74
US02079K3059,Alphabet Inc,16.23,3384331.0,2.52
JP3571400005,Tokyo Electron Ltd,8.95,3152895.0,2.34
US86800U1043,Super Micro Computer Inc,2.14,2912743.0,2.16
JP3548600000,Disco Corp,5.66,2869560.0,2.13
US79466L3024,Salesforce Inc,6.69,2742043.0,2.04
US5738741041,Marvell Technology Inc,27.16,2696496.0,2.0
TW0002449006,King Yuan Electronics Co Ltd,565.79,2548711.0,1.89
US0404132054,Arista Networks Inc,6.38,2501604.0,1.86
US9581021055,Western Digital Corp,26.76,2484819.0,1.85
US0420682058,ARM Holdings PLC,14.87,2492340.0,1.85
US88160R1014,Tesla Inc,11.09,2492845.0,1.85
JP3733000008,NEC Corp,24.87,2422544.0,1.8
US21037T1097,Constellation Energy Corp,9.24,2344020.0,1.74
TW0006669005,Wiwynn Corp,23.68,2233515.0,1.66
US1273871087,Cadence Design Systems Inc,5.33,2200550.0,1.64
JP3811000003,Fujikura Ltd,100.66,2010358.0,1.49
US68389X1054,Oracle Corp,11.72,1965881.0,1.46
US8334451098,Snowflake Inc,9.29,1956595.0,1.45
TW0002454006,MediaTek Inc,38.16,1871511.0,1.39
US22788C1053,Crowdstrike Holdings Inc,4.27,1842133.0,1.37
JP3750400008,Micronics Japan Co Ltd,26.05,1849540.0,1.37
IL0011762130,Monday.com Ltd,6.22,1802205.0,1.34
KYG0535Q1331,ASMPT Ltd,95.19,1640255.0,1.22
KR7042700005,한미반도체,10.68,1547951.0,1.15
JP3933800009,LY Corp,458.68,1546544.0,1.15
US37637K1088,Gitlab Inc,20.52,1528357.0,1.14
NL0013056914,Elastic NV,11.37,1502683.0,1.12
KR7095340006,ISC,14.92,1402207.0,1.04
US19247G1076,Coherent Corp,15.9,1263258.0,0.94
US98980G1022,Zscaler Inc,4.55,1157720.0,0.86
KRD010010001,원화예금,4619727.0,4619727.0,3.43
