티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,18.03,20800664.0,15.82
US5949181045,Microsoft Corp,12.55,7093201.0,5.39
US0231351067,Amazon.com Inc,22.49,5598266.0,4.26
US11135F1012,Broadcom Inc,3.15,5549054.0,4.22
US30303M1027,Meta Platforms Inc,8.07,5473901.0,4.16
US92537N1081,Vertiv Holdings Co,48.31,5430784.0,4.13
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,27.22,5195039.0,3.95
US5951121038,Micron Technology Inc,28.28,4515882.0,3.43
US9581021055,Western Digital Corp,43.42,4182761.0,3.18
US02079K3059,Alphabet Inc,18.31,3908121.0,2.97
JP3811000003,Fujikura Ltd,157.93,3672533.0,2.79
US86800U1043,Super Micro Computer Inc,2.43,3197181.0,2.43
US21037T1097,Constellation Energy Corp,12.33,3138238.0,2.39
JP3571400005,Tokyo Electron Ltd,8.29,2752060.0,2.09
JP3733000008,NEC Corp,26.34,2590434.0,1.97
JP3548600000,Disco Corp,5.24,2484637.0,1.89
US0420682058,ARM Holdings PLC,16.21,2394040.0,1.82
US79466L3024,Salesforce Inc,6.2,2351105.0,1.79
US0404132054,Arista Networks Inc,6.4,2276788.0,1.73
TW0002449006,King Yuan Electronics Co Ltd,524.39,2280612.0,1.73
TW0006669005,Wiwynn Corp,21.95,2226022.0,1.69
TW0003017000,Asia Vital Components Co Ltd,80.49,2178832.0,1.66
US0079031078,Advanced Micro Devices Inc,10.02,2119182.0,1.61
US5738741041,Marvell Technology Inc,20.49,1870152.0,1.42
US1273871087,Cadence Design Systems Inc,4.59,1848977.0,1.41
CA878742204B,Teck Resources Ltd,26.1,1691223.0,1.29
TW0002454006,MediaTek Inc,35.37,1575601.0,1.2
JP3788600009,Hitachi Ltd,12.8,1581741.0,1.2
KYG0535Q1331,ASMPT Ltd,88.23,1562260.0,1.19
JP3933800009,LY Corp,509.88,1541460.0,1.17
JP3750400008,Micronics Japan Co Ltd,24.15,1527887.0,1.16
US8334451098,Snowflake Inc,7.29,1489305.0,1.13
US22788C1053,Crowdstrike Holdings Inc,3.57,1439744.0,1.09
TW0001519007,Fortune Electric Co Ltd,35.37,1425544.0,1.08
KR7042700005,한미반도체,9.9,1411913.0,1.07
US92840M1027,Vistra Corp,14.55,1371676.0,1.04
US37637K1088,Gitlab Inc,17.29,1270118.0,0.97
NL0013056914,Elastic NV,9.72,1262626.0,0.96
US19247G1076,Coherent Corp,14.74,1048212.0,0.8
JP3122400009,Advantest Corp,21.34,1036830.0,0.79
US88160R1014,Tesla Inc,3.32,707660.0,0.54
KRD010010001,원화예금,4433708.0,4433708.0,3.37
