티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,51.95,34540643.0,11.18
US5949181045,Microsoft Corp,21.52,15420475.0,4.99
US02079K3059,Alphabet Inc,28.64,14495863.0,4.69
US0231351067,Amazon.com Inc,36.81,14494755.0,4.69
US4581401001,Intel Corp,104.03,14364192.0,4.65
JP3236330001,Kioxia Holdings Corp,26.75,11421487.0,3.7
JP3914400001,Murata Manufacturing Co Ltd,159.65,10366754.0,3.36
US67066G1040,NVIDIA Corp,30.1,9272438.0,3.0
US30303M1027,Meta Platforms Inc,10.99,9254915.0,3.0
US9581021055,Western Digital Corp,14.82,9199212.0,2.98
US80004C2008,Sandisk Corp,5.21,9132560.0,2.96
US5738741041,Marvell Technology Inc,30.23,8927492.0,2.89
US78392B2060,SK hynix Inc,46.59,8923833.0,2.89
IE00BKVD2N49,Seagate Technology Holdings PLC,7.59,8612963.0,2.79
US03823U1025,Applied Optoelectronics Inc,43.86,8248044.0,2.67
KR7009150004,삼성전기,6.23,7861973.0,2.55
US0420682058,ARM Holdings PLC,18.7,7091993.0,2.3
US22788C1053,Crowdstrike Holdings Inc,21.84,6963134.0,2.25
US6974351057,Palo Alto Networks Inc,12.59,6863245.0,2.22
US55024U1097,Lumentum Holdings Inc,5.59,6436436.0,2.08
US8334451098,Snowflake Inc,13.57,6431158.0,2.08
US69608A1088,Palantir Technologies Inc,21.24,5269956.0,1.71
US60937P1066,MongoDB Inc,8.81,5199566.0,1.68
US81762P1021,ServiceNow Inc,28.65,5168980.0,1.67
KYG6181S1093,Minimax Group Inc,85.76,4989573.0,1.62
US0326541051,Analog Devices Inc,9.05,4919955.0,1.59
USN070592100,ASML Holding NV,1.96,4818847.0,1.56
US5951121038,Micron Technology Inc,3.88,4727753.0,1.53
US23804L1035,Datadog Inc,10.84,4001078.0,1.3
IL0010823792,Tower Semiconductor Ltd,9.68,3460131.0,1.12
DE000623100B,Infineon Technologies AG,31.71,3238551.0,1.05
US7707001027,Robinhood Markets Inc,23.97,3207898.0,1.04
KYG017191142,Alibaba Group Holding Ltd,136.69,3125401.0,1.01
US5128073062,Lam Research Corp,7.15,3102809.0,1.0
US68389X1054,Oracle Corp,14.42,3084643.0,1.0
US0494681010,Atlassian Corp,14.34,3083991.0,1.0
US0382221051,Applied Materials Inc,4.12,3042409.0,0.99
KYG254571055,Credo Technology Group Holding Ltd,8.81,2992282.0,0.97
US84615Q1031,Space Exploration Technologies Corp,11.35,2230368.0,0.72
KR7005930003,삼성전자,8.58,2054868.0,0.67
CNE100000MLA,NAURA Technology Group Co Ltd,10.79,1720453.0,0.56
CNE100005PTA,Hygon Information Technology Co Ltd,26.97,1643711.0,0.53
HK0000218211,Hua Hong Grace Semiconductor Ltd,64.72,1606035.0,0.52
US6833441057,Onto Innovation Inc,3.74,1541952.0,0.5
US8807701029,Teradyne Inc,2.98,1541912.0,0.5
KRD010010001,원화예금,747089.0,747089.0,0.24
