티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,51.4,33384927.0,11.0
JP3236330001,Kioxia Holdings Corp,33.08,14525518.0,4.79
US5949181045,Microsoft Corp,21.29,14359956.0,4.73
US02079K3059,Alphabet Inc,28.33,13600165.0,4.48
US0231351067,Amazon.com Inc,36.42,13482790.0,4.44
US4581401001,Intel Corp,102.92,13300545.0,4.38
US80004C2008,Sandisk Corp,5.62,12276431.0,4.04
US5738741041,Marvell Technology Inc,36.07,11917415.0,3.93
JP3914400001,Murata Manufacturing Co Ltd,170.76,11003165.0,3.63
US78392B2060,SK hynix Inc,47.76,10387192.0,3.42
KR7009150004,삼성전기,7.2,10056563.0,3.31
US9581021055,Western Digital Corp,14.66,9436264.0,3.11
US5951121038,Micron Technology Inc,6.74,8802218.0,2.9
IE00BKVD2N49,Seagate Technology Holdings PLC,7.51,8711139.0,2.87
US30303M1027,Meta Platforms Inc,10.87,8265408.0,2.72
US0494681010,Atlassian Corp,31.29,7592305.0,2.5
US03823U1025,Applied Optoelectronics Inc,44.56,7581915.0,2.5
US55024U1097,Lumentum Holdings Inc,6.05,6974134.0,2.3
KYG254571055,Credo Technology Group Holding Ltd,17.92,5861407.0,1.93
US67066G1040,NVIDIA Corp,18.25,5529195.0,1.82
US0420682058,ARM Holdings PLC,14.91,5178817.0,1.71
KR7005930003,삼성전자,17.61,4772145.0,1.57
USN070592100,ASML Holding NV,1.94,4738329.0,1.56
US69608A1088,Palantir Technologies Inc,18.68,4557831.0,1.5
CNE1000030SA,GigaDevice Semiconductor Inc,53.36,4461921.0,1.47
US0326541051,Analog Devices Inc,8.51,4421367.0,1.46
US68389X1054,Oracle Corp,21.95,4395462.0,1.45
US6974351057,Palo Alto Networks Inc,7.87,3940643.0,1.3
US22788C1053,Crowdstrike Holdings Inc,14.04,3941247.0,1.3
US7707001027,Robinhood Markets Inc,23.71,3162717.0,1.04
US5128073062,Lam Research Corp,7.08,3026768.0,1.0
US8334451098,Snowflake Inc,6.7,3033494.0,1.0
US60937P1066,MongoDB Inc,4.91,3015031.0,0.99
KYG6181S1093,Minimax Group Inc,57.51,2986177.0,0.98
CNE100007DH9,Z AI Co Ltd,16.01,2876747.0,0.95
US0382221051,Applied Materials Inc,4.07,2813272.0,0.93
DE000623100B,Infineon Technologies AG,31.37,2806921.0,0.92
IL0010823792,Tower Semiconductor Ltd,8.66,2729600.0,0.9
US23804L1035,Datadog Inc,8.12,2639429.0,0.87
US6833441057,Onto Innovation Inc,3.7,1542363.0,0.51
US8807701029,Teradyne Inc,2.95,1560146.0,0.51
US04626A1034,Astera Labs Inc,3.63,1462620.0,0.48
CNE100000MLA,NAURA Technology Group Co Ltd,8.54,1260757.0,0.42
US84615Q1031,Space Exploration Technologies Corp,4.37,849927.0,0.28
KRD010010001,원화예금,303690.0,303690.0,0.1
