티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,85.97,63012571.0,19.52
US0326541051,Analog Devices Inc,25.57,14191466.0,4.4
JP3236330001,Kioxia Holdings Corp,29.33,13917691.0,4.31
US0231351067,Amazon.com Inc,36.84,13464223.0,4.17
JP3914400001,Murata Manufacturing Co Ltd,186.67,12971489.0,4.02
US02079K3059,Alphabet Inc,25.32,12979578.0,4.02
US4581401001,Intel Corp,80.39,11296024.0,3.5
US0420682058,ARM Holdings PLC,27.62,10908698.0,3.38
US80004C2008,Sandisk Corp,5.09,10201772.0,3.16
IE00BKVD2N49,Seagate Technology Holdings PLC,8.51,9912024.0,3.07
US9581021055,Western Digital Corp,13.72,9681644.0,3.0
USN070592100,ASML Holding NV,3.44,8887660.0,2.75
US5949181045,Microsoft Corp,11.86,6905946.0,2.14
US78392B2060,SK hynix Inc,29.87,6801176.0,2.11
DE000623100B,Infineon Technologies AG,59.89,6446010.0,2.0
KYG017191142,Alibaba Group Holding Ltd,285.41,6060176.0,1.88
HK0000218211,Hua Hong Grace Semiconductor Ltd,224.46,5870779.0,1.82
US69608A1088,Palantir Technologies Inc,29.47,5766938.0,1.79
CNE100005PTA,Hygon Information Technology Co Ltd,85.09,5662385.0,1.75
CNE100000MLA,NAURA Technology Group Co Ltd,37.97,5610800.0,1.74
US0382221051,Applied Materials Inc,6.43,5036573.0,1.56
US5128073062,Lam Research Corp,10.89,5044368.0,1.56
US7707001027,Robinhood Markets Inc,32.57,4812533.0,1.49
US60937P1066,MongoDB Inc,10.29,4750470.0,1.47
US5738741041,Marvell Technology Inc,15.3,4268222.0,1.32
US6974351057,Palo Alto Networks Inc,7.69,4078149.0,1.26
US36828A1016,GE Vernova Inc,2.45,3836793.0,1.19
US92537N1081,Vertiv Holdings Co,8.58,3673544.0,1.14
US8334451098,Snowflake Inc,9.26,3680706.0,1.14
US64110D1046,NetApp Inc,14.59,3534060.0,1.09
US6833441057,Onto Innovation Inc,8.45,3495193.0,1.08
CNE100000N7A,Suzhou Dongshan Precision Manufacturing Co Ltd,66.13,3492096.0,1.08
US22788C1053,Crowdstrike Holdings Inc,11.6,3483348.0,1.08
US30303M1027,Meta Platforms Inc,3.65,3484063.0,1.08
CNE100007DH9,Z AI Co Ltd,16.0,3339951.0,1.03
US8807701029,Teradyne Inc,6.92,3299132.0,1.02
US0937121079,Bloom Energy Corp,9.53,3027120.0,0.94
US84615Q1031,Space Exploration Technologies Corp,8.86,1623854.0,0.5
KRD010010001,원화예금,14325607.0,14325607.0,4.44
