티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,146.36,26573112.0,17.02
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,31.92,7770936.0,4.98
US5949181045,Microsoft Corp,11.29,6983966.0,4.47
US11135F1012,Broadcom Inc,2.86,6886816.0,4.41
US0231351067,Amazon.com Inc,22.49,5810080.0,3.72
US0378331005,Apple Inc,19.25,5602748.0,3.59
US30303M1027,Meta Platforms Inc,7.78,5418038.0,3.47
US7475251036,QUALCOMM Inc,16.66,4984666.0,3.19
US5951121038,Micron Technology Inc,23.92,4787884.0,3.07
KYG875721634,Tencent Holdings Ltd,67.33,4643512.0,2.97
US02079K3059,Alphabet Inc,18.27,4470495.0,2.86
US92537N1081,Vertiv Holdings Co,33.68,4231088.0,2.71
US9581021055,Western Digital Corp,34.31,3633768.0,2.33
TW0002382009,Quanta Computer Inc,247.33,3499829.0,2.24
JP3148800000,Ibiden Co Ltd,55.96,3493994.0,2.24
US86800U1043,Super Micro Computer Inc,2.62,3339722.0,2.14
US24703L2025,Dell Technologies Inc,16.15,3329708.0,2.13
US0404132054,Arista Networks Inc,6.73,3178586.0,2.04
JP3788600009,Hitachi Ltd,21.16,3149202.0,2.02
US22788C1053,Crowdstrike Holdings Inc,5.85,3105265.0,1.99
JP3236200006,Keyence Corp,5.05,3051468.0,1.95
US23804L1035,Datadog Inc,18.7,3014145.0,1.93
US0079031078,Advanced Micro Devices Inc,13.36,2999651.0,1.92
JP3811000003,Fujikura Ltd,109.44,2981772.0,1.91
US0420682058,ARM Holdings PLC,12.93,2885177.0,1.85
NL0013056914,Elastic NV,18.77,2840142.0,1.82
US88160R1014,Tesla Inc,10.54,2657706.0,1.7
US90353T1007,Uber Technologies Inc,22.83,2228274.0,1.43
US92840M1027,Vistra Corp,17.03,2084532.0,1.33
FR0000121972,Schneider Electric SE,6.04,2060449.0,1.32
KYG0535Q1331,ASMPT Ltd,115.82,2054684.0,1.32
US3364331070,First Solar Inc,5.71,2061697.0,1.32
HK0992009065,Lenovo Group Ltd,942.79,2019724.0,1.29
JP3733000008,NEC Corp,15.35,1709560.0,1.09
US21037T1097,Constellation Energy Corp,4.68,1444602.0,0.93
JP3750400008,Micronics Japan Co Ltd,18.88,1071412.0,0.69
KRD010010001,원화예금,4100452.0,4100452.0,2.63
