티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,18.03,21402863.0,15.76
US5949181045,Microsoft Corp,13.39,7731786.0,5.69
US30303M1027,Meta Platforms Inc,8.13,5765914.0,4.25
US92537N1081,Vertiv Holdings Co,49.72,5748887.0,4.23
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,28.18,5620605.0,4.14
US0231351067,Amazon.com Inc,22.09,5604417.0,4.13
US11135F1012,Broadcom Inc,2.85,5142779.0,3.79
US5951121038,Micron Technology Inc,28.81,4801685.0,3.54
US9581021055,Western Digital Corp,42.49,4187395.0,3.08
JP3811000003,Fujikura Ltd,155.68,3596525.0,2.65
US02079K3059,Alphabet Inc,16.54,3522143.0,2.59
US0079031078,Advanced Micro Devices Inc,14.67,3345663.0,2.46
US21037T1097,Constellation Energy Corp,12.77,3327265.0,2.45
JP3571400005,Tokyo Electron Ltd,8.59,3006022.0,2.21
US5738741041,Marvell Technology Inc,28.6,2787184.0,2.05
JP3733000008,NEC Corp,27.27,2763220.0,2.04
JP3548600000,Disco Corp,5.43,2685113.0,1.98
US79466L3024,Salesforce Inc,6.42,2622566.0,1.93
US86800U1043,Super Micro Computer Inc,2.05,2542836.0,1.87
US0420682058,ARM Holdings PLC,14.27,2436104.0,1.79
TW0002449006,King Yuan Electronics Co Ltd,542.93,2436112.0,1.79
US0404132054,Arista Networks Inc,6.12,2405628.0,1.77
TW0006669005,Wiwynn Corp,22.73,2265617.0,1.67
US1273871087,Cadence Design Systems Inc,5.11,2123096.0,1.56
US68389X1054,Oracle Corp,11.25,1867971.0,1.38
TW0002454006,MediaTek Inc,36.62,1852204.0,1.36
KYG0535Q1331,ASMPT Ltd,91.35,1738034.0,1.28
JP3750400008,Micronics Japan Co Ltd,25.0,1644079.0,1.21
JP3933800009,LY Corp,484.34,1586987.0,1.17
US22788C1053,Crowdstrike Holdings Inc,3.7,1576100.0,1.16
US8334451098,Snowflake Inc,7.55,1575009.0,1.16
KR7042700005,한미반도체,10.25,1452603.0,1.07
US37637K1088,Gitlab Inc,17.9,1415007.0,1.04
KR7095340006,ISC,14.31,1378476.0,1.02
NL0013056914,Elastic NV,10.06,1348583.0,0.99
IL0011762130,Monday.com Ltd,4.59,1251583.0,0.92
US19247G1076,Coherent Corp,15.26,1162398.0,0.86
US98980G1022,Zscaler Inc,4.36,1094950.0,0.81
US92840M1027,Vistra Corp,10.71,1033486.0,0.76
US88160R1014,Tesla Inc,3.43,804363.0,0.59
TW0003017000,Asia Vital Components Co Ltd,27.78,652587.0,0.48
KRD010010001,원화예금,4460177.0,4460177.0,3.29
