티커,구성종목명,계약수,평가금액,비중
SNDK US EQUITY,Sandisk Corp/DE,23.9,21550936.0,8.42
NVDA US EQUITY,NVIDIA Corp,74.63,20809460.0,8.13
BE US EQUITY,Bloom Energy Corp,63.16,15739836.0,6.15
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,22.53,12454550.0,4.87
GEV US EQUITY,GE Vernova Inc,9.72,12138188.0,4.74
LRCX US EQUITY,Lam Research Corp,29.3,10421953.0,4.07
STX US EQUITY,Seagate Technology Holdings PLC,16.39,9860866.0,3.85
ASML US EQUITY,ASML Holding NV,4.17,9073983.0,3.55
AVGO US EQUITY,Broadcom Inc,18.37,8702448.0,3.4
AMAT US EQUITY,Applied Materials Inc,15.22,8572927.0,3.35
KLAC US EQUITY,KLA Corp,3.89,8572455.0,3.35
2338 HK EQUITY,Weichai Power Co Ltd,1304.43,7935936.0,3.1
6981 JP EQUITY,Murata Manufacturing Co Ltd,187.86,7253966.0,2.83
TSLA US EQUITY,Tesla Inc,10.95,6514597.0,2.55
LITE US EQUITY,Lumentum Holdings Inc,6.21,6409047.0,2.5
VRT US EQUITY,Vertiv Holdings Co,16.88,6309740.0,2.47
ENR GY EQUITY,Siemens Energy AG,21.86,6241995.0,2.44
CIEN US EQUITY,Ciena Corp,12.15,6122503.0,2.39
RKLB US EQUITY,Rocket Lab Corp,56.74,5679305.0,2.22
COHR US EQUITY,Coherent Corp,14.6,5577782.0,2.18
5803 JP EQUITY,Fujikura Ltd,21.89,5369866.0,2.1
CCJ US EQUITY,Cameco Corp,29.02,4954399.0,1.94
FN US EQUITY,Fabrinet,4.18,3674301.0,1.44
GOOGL US EQUITY,Alphabet Inc,8.24,3678017.0,1.44
CRDO US EQUITY,Credo Technology Group Holding Ltd,19.95,3511682.0,1.37
100 HK EQUITY,Minimax Group Inc,23.59,3239826.0,1.27
AMZN US EQUITY,Amazon.com Inc,8.68,2608361.0,1.02
CLS US EQUITY,Celestica Inc,6.11,2562186.0,1.0
1347 HK EQUITY,Hua Hong Semiconductor Ltd,135.57,2540099.0,0.99
OKLO US EQUITY,Oklo Inc,26.76,2530684.0,0.99
MSFT US EQUITY,Microsoft Corp,4.39,2505083.0,0.98
META US EQUITY,Meta Platforms Inc,2.65,2471498.0,0.97
IFX GY EQUITY,Infineon Technologies AG,31.11,2467769.0,0.96
9880 HK EQUITY,UBTech Robotics Corp Ltd,103.75,2418521.0,0.94
034020,두산에너빌리티,15.94,1654499.0,0.65
AMD US EQUITY,Advanced Micro Devices Inc,4.39,1320749.0,0.52
INTC US EQUITY,Intel Corp,19.8,1323307.0,0.52
IONQ US EQUITY,IonQ Inc,28.0,1340924.0,0.52
PLTR US EQUITY,Palantir Technologies Inc,6.39,1223449.0,0.48
SNOW US EQUITY,Snowflake Inc,5.07,1223730.0,0.48
9888 HK EQUITY,Baidu Inc,49.18,1155484.0,0.45
DOCN US EQUITY,DigitalOcean Holdings Inc,12.83,1083816.0,0.42
KRD010010001,원화예금,5139870.0,5139870.0,2.01
