티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,51.76,35477996.0,11.12
US5949181045,Microsoft Corp,21.44,14985658.0,4.69
US4581401001,Intel Corp,103.64,14850101.0,4.65
US02079K3059,Alphabet Inc,28.53,13910945.0,4.36
US0231351067,Amazon.com Inc,36.67,13913216.0,4.36
JP3236330001,Kioxia Holdings Corp,26.65,11835567.0,3.71
US5738741041,Marvell Technology Inc,36.32,11190788.0,3.51
JP3914400001,Murata Manufacturing Co Ltd,159.05,10676179.0,3.34
US78392B2060,SK hynix Inc,46.41,10171775.0,3.19
US80004C2008,Sandisk Corp,5.19,9904408.0,3.1
US03823U1025,Applied Optoelectronics Inc,48.97,9597333.0,3.01
US9581021055,Western Digital Corp,14.77,9517582.0,2.98
IE00BKVD2N49,Seagate Technology Holdings PLC,7.57,9431037.0,2.95
KR7009150004,삼성전기,6.21,9328130.0,2.92
US30303M1027,Meta Platforms Inc,10.95,8993225.0,2.82
US55024U1097,Lumentum Holdings Inc,6.4,8470422.0,2.65
KYG254571055,Credo Technology Group Holding Ltd,18.84,7170746.0,2.25
US67066G1040,NVIDIA Corp,19.92,6335829.0,1.99
US0420682058,ARM Holdings PLC,16.15,6231092.0,1.95
US6974351057,Palo Alto Networks Inc,11.26,6186882.0,1.94
US22788C1053,Crowdstrike Holdings Inc,19.23,6052986.0,1.9
US5951121038,Micron Technology Inc,4.58,5928762.0,1.86
US0494681010,Atlassian Corp,25.47,5612293.0,1.76
KYG6181S1093,Minimax Group Inc,85.44,5524180.0,1.73
USN070592100,ASML Holding NV,1.96,5025222.0,1.57
US0326541051,Analog Devices Inc,8.57,4673734.0,1.46
US8334451098,Snowflake Inc,9.91,4673017.0,1.46
US60937P1066,MongoDB Inc,7.52,4671772.0,1.46
US81762P1021,ServiceNow Inc,24.59,4361549.0,1.37
US68389X1054,Oracle Corp,18.64,4054366.0,1.27
US69608A1088,Palantir Technologies Inc,15.39,3737496.0,1.17
IL0010823792,Tower Semiconductor Ltd,9.64,3561818.0,1.12
US5128073062,Lam Research Corp,7.13,3298117.0,1.03
DE000623100B,Infineon Technologies AG,31.59,3258074.0,1.02
US7707001027,Robinhood Markets Inc,23.88,3216951.0,1.01
US0382221051,Applied Materials Inc,4.1,3189938.0,1.0
KR7005930003,삼성전자,11.28,3024180.0,0.95
CNE1000030SA,GigaDevice Semiconductor Inc,34.93,3035700.0,0.95
US23804L1035,Datadog Inc,8.17,2794746.0,0.88
US6833441057,Onto Innovation Inc,3.72,1783086.0,0.56
CNE100000MLA,NAURA Technology Group Co Ltd,10.75,1718147.0,0.54
US8807701029,Teradyne Inc,2.97,1698667.0,0.53
HK0000218211,Hua Hong Grace Semiconductor Ltd,64.48,1665810.0,0.52
CNE100005PTA,Hygon Information Technology Co Ltd,26.87,1625796.0,0.51
US84615Q1031,Space Exploration Technologies Corp,4.4,912937.0,0.29
KRD010010001,원화예금,1905408.0,1905408.0,0.6
