티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,19.33,22617934.0,17.33
US5949181045,Microsoft Corp,12.95,7326529.0,5.61
US30303M1027,Meta Platforms Inc,8.73,5712735.0,4.38
US0079031078,Advanced Micro Devices Inc,22.66,5639696.0,4.32
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,29.14,5413174.0,4.15
US0231351067,Amazon.com Inc,21.98,5227434.0,4.01
US92537N1081,Vertiv Holdings Co,42.45,4174981.0,3.2
US11135F1012,Broadcom Inc,2.37,3980297.0,3.05
US86800U1043,Super Micro Computer Inc,2.5,3759028.0,2.88
US5951121038,Micron Technology Inc,29.78,3622665.0,2.78
US00724F1012,Adobe Inc,4.47,3392657.0,2.6
US79466L3024,Salesforce Inc,8.31,3353643.0,2.57
JP3571400005,Tokyo Electron Ltd,9.12,3045818.0,2.33
US1273871087,Cadence Design Systems Inc,7.31,2978476.0,2.28
US0404132054,Arista Networks Inc,7.27,2747250.0,2.11
US8835561023,Thermo Fisher Scientific Inc,3.3,2568135.0,1.97
JP3548600000,Disco Corp,5.47,2471266.0,1.89
KYG0535Q1331,ASMPT Ltd,143.07,2433477.0,1.86
TW0002449006,King Yuan Electronics Co Ltd,547.11,2403552.0,1.84
IL0011762130,Monday.com Ltd,8.18,2368029.0,1.81
TW0002454006,MediaTek Inc,48.63,2351065.0,1.8
US68389X1054,Oracle Corp,13.54,2261419.0,1.73
US02079K3059,Alphabet Inc,11.71,2229520.0,1.71
TW0006669005,Wiwynn Corp,22.8,2166237.0,1.66
JP3519400000,Chugai Pharmaceutical Co Ltd,35.87,1965586.0,1.51
US8334451098,Snowflake Inc,9.2,1945276.0,1.49
NL0013056914,Elastic NV,13.13,1800403.0,1.38
US37637K1088,Gitlab Inc,24.49,1784622.0,1.37
US5738741041,Marvell Technology Inc,20.17,1773335.0,1.36
US90353T1007,Uber Technologies Inc,16.73,1728431.0,1.32
JP3750400008,Micronics Japan Co Ltd,23.56,1585511.0,1.22
US22788C1053,Crowdstrike Holdings Inc,3.2,1399004.0,1.07
US98980G1022,Zscaler Inc,5.19,1372979.0,1.05
US88160R1014,Tesla Inc,5.76,1245348.0,0.95
US0420682058,ARM Holdings PLC,6.69,1165680.0,0.89
US21037T1097,Constellation Energy Corp,5.11,1119363.0,0.86
TW0003231007,Wistron Corp,182.37,885519.0,0.68
KR7131970006,두산테스나,12.89,589073.0,0.45
KRD010010001,원화예금,5880512.0,5880512.0,4.51
