티커,구성종목명,계약수,평가금액,비중
AMD US EQUITY,Advanced Micro Devices Inc,75.38,61499603.0,13.5
SNDK US EQUITY,Sandisk Corp,17.07,61053415.0,13.4
MU US EQUITY,Micron Technology Inc,27.8,51680545.0,11.34
285A JP EQUITY,Kioxia Holdings Corp,23.29,22914431.0,5.03
6981 JP EQUITY,Murata Manufacturing Co Ltd,198.39,22226331.0,4.88
INTC US EQUITY,Intel Corp,101.86,20733768.0,4.55
STX US EQUITY,Seagate Technology Holdings PLC,12.16,19095918.0,4.19
000660,SK하이닉스,6.9,18445084.0,4.05
005930,삼성전자,52.9,17960897.0,3.94
ARM US EQUITY,ARM Holdings PLC,28.98,15435500.0,3.39
BE US EQUITY,Bloom Energy Corp,21.74,10295853.0,2.26
GEV US EQUITY,GE Vernova Inc,6.19,10298943.0,2.26
VRT US EQUITY,Vertiv Holdings Co,20.64,10296698.0,2.26
AMAT US EQUITY,Applied Materials Inc,9.63,9851244.0,2.16
LRCX US EQUITY,Lam Research Corp,16.0,9847995.0,2.16
ONTO US EQUITY,Onto Innovation Inc,18.67,9846974.0,2.16
2513 HK EQUITY,Knowledge Atlas Technology JSC Ltd,20.13,9240945.0,2.03
WDC US EQUITY,Western Digital Corp,8.75,9055833.0,1.99
MRVL US EQUITY,Marvell Technology Inc,20.36,8773908.0,1.93
KLAC US EQUITY,KLA Corp,20.32,8057308.0,1.77
TER US EQUITY,Teradyne Inc,11.14,8057831.0,1.77
009150,삼성전기,4.03,8022426.0,1.76
IFX GY EQUITY,Infineon Technologies AG,55.53,7937740.0,1.74
ADI US EQUITY,Analog Devices Inc,10.19,6524187.0,1.43
GFS US EQUITY,GLOBALFOUNDRIES Inc,49.4,6517888.0,1.43
IBM US EQUITY,International Business Machines Corp,8.2,3244536.0,0.71
SPCX US EQUITY,Space Exploration Technologies Corp,9.55,2238825.0,0.49
GLW US EQUITY,Corning Inc,6.27,2189472.0,0.48
TSEM US EQUITY,Tower Semiconductor Ltd,4.78,1978122.0,0.43
COHR US EQUITY,Coherent Corp,3.07,1915849.0,0.42
LITE US EQUITY,Lumentum Holdings Inc,1.33,1754136.0,0.38
KRD010010001,원화예금,-1319568.0,-1319568.0,-0.29
