티커,구성종목명,계약수,평가금액,비중
US0079031078,Advanced Micro Devices Inc,77.9,56392298.0,18.01
JP3236330001,Kioxia Holdings Corp,34.48,16806290.0,5.37
US4581401001,Intel Corp,102.32,13717546.0,4.38
IE00BKVD2N49,Seagate Technology Holdings PLC,11.41,13634577.0,4.35
US9581021055,Western Digital Corp,18.61,13552009.0,4.33
US0231351067,Amazon.com Inc,36.64,12399910.0,3.96
US02079K3059,Alphabet Inc,25.18,12027514.0,3.84
JP3914400001,Murata Manufacturing Co Ltd,159.15,11520657.0,3.68
US0326541051,Analog Devices Inc,20.85,11342324.0,3.62
US0420682058,ARM Holdings PLC,27.47,10699578.0,3.42
US80004C2008,Sandisk Corp,5.71,10671017.0,3.41
US78392B2060,SK hynix Inc,41.04,8584159.0,2.74
US5949181045,Microsoft Corp,13.4,7625689.0,2.44
USN070592100,ASML Holding NV,2.9,7012024.0,2.24
CNE100000MLA,NAURA Technology Group Co Ltd,39.79,6619957.0,2.11
DE000623100B,Infineon Technologies AG,60.88,6224476.0,1.99
US69608A1088,Palantir Technologies Inc,31.71,6099477.0,1.95
KYG017191142,Alibaba Group Holding Ltd,283.9,5877454.0,1.88
HK0000218211,Hua Hong Grace Semiconductor Ltd,212.2,5881249.0,1.88
US5738741041,Marvell Technology Inc,19.58,5417274.0,1.73
CNE100005PTA,Hygon Information Technology Co Ltd,79.58,5392084.0,1.72
US55024U1097,Lumentum Holdings Inc,4.92,5120588.0,1.64
CNE100007DH9,Z AI Co Ltd,21.22,5069905.0,1.62
US60937P1066,MongoDB Inc,10.23,4635237.0,1.48
US8334451098,Snowflake Inc,11.46,4575880.0,1.46
US7707001027,Robinhood Markets Inc,32.39,4531336.0,1.45
US0382221051,Applied Materials Inc,4.84,3657442.0,1.17
US5128073062,Lam Research Corp,8.57,3656185.0,1.17
US6833441057,Onto Innovation Inc,8.4,3223945.0,1.03
US6974351057,Palo Alto Networks Inc,6.88,3193169.0,1.02
US8807701029,Teradyne Inc,6.29,3080461.0,0.98
US36828A1016,GE Vernova Inc,1.16,1693310.0,0.54
US22788C1053,Crowdstrike Holdings Inc,6.18,1627138.0,0.52
US92537N1081,Vertiv Holdings Co,3.8,1597667.0,0.51
US30303M1027,Meta Platforms Inc,1.75,1520511.0,0.49
US84615Q1031,Space Exploration Technologies Corp,8.81,1462682.0,0.47
US0937121079,Bloom Energy Corp,3.37,928570.0,0.3
KYG9830T1067,Xiaomi Corp,159.15,851316.0,0.27
KRD010010001,원화예금,15218638.0,15218638.0,4.86
