티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,109.98,16976124.0,11.48
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,30.15,6843989.0,4.63
US11135F1012,Broadcom Inc,30.18,6668041.0,4.51
KYG017191142,Alibaba Group Holding Ltd,346.12,6467807.0,4.37
US5949181045,Microsoft Corp,11.26,6249072.0,4.22
KYG875721634,Tencent Holdings Ltd,76.96,5812908.0,3.93
US30303M1027,Meta Platforms Inc,7.63,5802614.0,3.92
US0231351067,Amazon.com Inc,20.76,5070929.0,3.43
US02079K3059,Alphabet Inc,22.61,4982034.0,3.37
US92840M1027,Vistra Corp,30.06,4860671.0,3.29
US88160R1014,Tesla Inc,13.67,4654013.0,3.15
US21037T1097,Constellation Energy Corp,12.78,4479433.0,3.03
US92537N1081,Vertiv Holdings Co,31.56,4064042.0,2.75
JP3900000005,Mitsubishi Heavy Industries Ltd,172.49,3611229.0,2.44
US0404132054,Arista Networks Inc,7.14,3598390.0,2.43
US81762P1021,ServiceNow Inc,2.98,3414051.0,2.31
US24703L2025,Dell Technologies Inc,22.75,3396590.0,2.3
US0079031078,Advanced Micro Devices Inc,14.69,3095580.0,2.09
US0378331005,Apple Inc,9.84,2937017.0,1.99
US69608A1088,Palantir Technologies Inc,61.14,2941074.0,1.99
US0420682058,ARM Holdings PLC,16.28,2921880.0,1.98
FR0000121972,Schneider Electric SE,8.03,2766549.0,1.87
JP3733000008,NEC Corp,21.06,2760931.0,1.87
US22788C1053,Crowdstrike Holdings Inc,7.53,2735024.0,1.85
JP3788600009,Hitachi Ltd,74.6,2689484.0,1.82
JP3811000003,Fujikura Ltd,57.35,2629273.0,1.78
US00724F1012,Adobe Inc,3.97,2632317.0,1.78
US23804L1035,Datadog Inc,16.22,2439397.0,1.65
FR0000044448,Nexans SA,11.77,2256474.0,1.53
TW0002382009,Quanta Computer Inc,202.39,2247201.0,1.52
JP3850200001,Hokkaido Electric Power Co Inc,246.56,2179211.0,1.47
US7475251036,QUALCOMM Inc,9.46,2069099.0,1.4
US3364331070,First Solar Inc,6.31,2002451.0,1.35
KYG070341048,Baidu Inc,89.29,1601820.0,1.08
US5951121038,Micron Technology Inc,11.86,1569862.0,1.06
US91332U1016,Unity Software Inc,27.09,771621.0,0.52
US75629V1044,Recursion Pharmaceuticals Inc,82.11,668348.0,0.45
KRD010010001,원화예금,5051563.0,5051563.0,3.42
