티커,구성종목명,계약수,평가금액,비중
AMD US EQUITY,Advanced Micro Devices Inc,51.67,35399309.0,10.84
INTC US EQUITY,Intel Corp,103.47,15344489.0,4.7
MSFT US EQUITY,Microsoft Corp,21.41,15085044.0,4.62
GOOGL US EQUITY,Alphabet Inc,28.48,13991711.0,4.28
AMZN US EQUITY,Amazon.com Inc,36.61,13768407.0,4.22
285A JP EQUITY,Kioxia Holdings Corp,27.9,12870755.0,3.94
6981 JP EQUITY,Murata Manufacturing Co Ltd,171.67,12707911.0,3.89
MRVL US EQUITY,Marvell Technology Inc,36.26,11426404.0,3.5
009150,삼성전기,7.24,11283797.0,3.45
SNDK US EQUITY,Sandisk Corp,5.18,11231917.0,3.44
SKHYV US EQUITY,SK hynix Inc,46.34,10887520.0,3.33
WDC US EQUITY,Western Digital Corp,14.74,10188879.0,3.12
STX US EQUITY,Seagate Technology Holdings PLC,7.55,9870949.0,3.02
META US EQUITY,Meta Platforms Inc,10.93,9221643.0,2.82
AAOI US EQUITY,Applied Optoelectronics Inc,48.89,9019741.0,2.76
LITE US EQUITY,Lumentum Holdings Inc,6.39,7978457.0,2.44
CRDO US EQUITY,Credo Technology Group Holding Ltd,18.81,7095768.0,2.17
MU US EQUITY,Micron Technology Inc,4.84,6518904.0,2.0
TEAM US EQUITY,Atlassian Corp,27.68,6516698.0,2.0
ARM US EQUITY,ARM Holdings PLC,16.12,6371265.0,1.95
PANW US EQUITY,Palo Alto Networks Inc,11.24,6315513.0,1.93
CRWD US EQUITY,Crowdstrike Holdings Inc,19.2,6140664.0,1.88
NVDA US EQUITY,NVIDIA Corp,18.35,5862859.0,1.8
ASML US EQUITY,ASML Holding NV,1.95,5118021.0,1.57
MDB US EQUITY,MongoDB Inc,7.51,5027460.0,1.54
ORCL US EQUITY,Oracle Corp,22.07,4888971.0,1.5
005930,삼성전자,17.7,4859710.0,1.49
SNOW US EQUITY,Snowflake Inc,9.89,4733718.0,1.45
ADI US EQUITY,Analog Devices Inc,8.55,4623056.0,1.42
100 HK EQUITY,Minimax Group Inc,64.38,4384545.0,1.34
PLTR US EQUITY,Palantir Technologies Inc,15.37,3902331.0,1.19
TSEM US EQUITY,Tower Semiconductor Ltd,9.62,3452862.0,1.06
LRCX US EQUITY,Lam Research Corp,7.11,3400231.0,1.04
HOOD US EQUITY,Robinhood Markets Inc,23.84,3360094.0,1.03
NOW US EQUITY,ServiceNow Inc,18.04,3255200.0,1.0
IFX GY EQUITY,Infineon Technologies AG,31.54,3227319.0,0.99
AMAT US EQUITY,Applied Materials Inc,4.09,3103323.0,0.95
603986 C1 EQUITY,GigaDevice Semiconductor Inc,34.87,2966087.0,0.91
DDOG US EQUITY,Datadog Inc,8.16,2919210.0,0.89
ONTO US EQUITY,Onto Innovation Inc,3.72,1781315.0,0.55
TER US EQUITY,Teradyne Inc,2.97,1727355.0,0.53
002371 C2 EQUITY,NAURA Technology Group Co Ltd,8.58,1333157.0,0.41
688041 C1 EQUITY,Hygon Information Technology Co Ltd,21.46,1290559.0,0.4
1347 HK EQUITY,Hua Hong Grace Semiconductor Ltd,37.55,999167.0,0.31
SPCX US EQUITY,Space Exploration Technologies Corp,4.39,880476.0,0.27
KRD010010001,원화예금,282806.0,282806.0,0.09
