티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,108.37,16819046.0,11.46
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,29.71,6930500.0,4.72
US11135F1012,Broadcom Inc,29.74,6865546.0,4.68
US5949181045,Microsoft Corp,11.09,6420530.0,4.37
US30303M1027,Meta Platforms Inc,7.52,5664480.0,3.86
KYG017191142,Alibaba Group Holding Ltd,363.53,5408536.0,3.68
KYG875721634,Tencent Holdings Ltd,80.84,5374017.0,3.66
US0231351067,Amazon.com Inc,20.46,5294953.0,3.61
US88160R1014,Tesla Inc,15.53,5181611.0,3.53
US02079K3059,Alphabet Inc,22.28,4814457.0,3.28
US92537N1081,Vertiv Holdings Co,34.99,4487865.0,3.06
US92840M1027,Vistra Corp,29.62,4414507.0,3.01
US21037T1097,Constellation Energy Corp,12.6,4323474.0,2.95
US24703L2025,Dell Technologies Inc,23.79,3732947.0,2.54
US69608A1088,Palantir Technologies Inc,72.77,3686677.0,2.51
US81762P1021,ServiceNow Inc,2.94,3633114.0,2.47
US0404132054,Arista Networks Inc,7.04,3622739.0,2.47
FR0000121972,Schneider Electric SE,9.12,3224988.0,2.2
FR0000044448,Nexans SA,15.89,3075391.0,2.09
US0420682058,ARM Holdings PLC,16.04,3034014.0,2.07
US0079031078,Advanced Micro Devices Inc,14.47,3028496.0,2.06
JP3900000005,Mitsubishi Heavy Industries Ltd,169.97,2993012.0,2.04
US0378331005,Apple Inc,9.7,2931728.0,2.0
US22788C1053,Crowdstrike Holdings Inc,7.42,2905261.0,1.98
US00724F1012,Adobe Inc,3.91,2755423.0,1.88
JP3733000008,NEC Corp,20.75,2629493.0,1.79
JP3788600009,Hitachi Ltd,73.51,2495926.0,1.7
US23804L1035,Datadog Inc,15.99,2480008.0,1.69
JP3811000003,Fujikura Ltd,56.52,2412154.0,1.64
CA13321L108A,Cameco Corp,36.96,2270233.0,1.55
TW0002382009,Quanta Computer Inc,199.44,2136832.0,1.46
US7475251036,QUALCOMM Inc,9.32,2065242.0,1.41
US3364331070,First Solar Inc,6.21,2068063.0,1.41
US25746U1097,Dominion Energy Inc,20.8,1606761.0,1.09
US5951121038,Micron Technology Inc,11.69,1460065.0,0.99
US91332U1016,Unity Software Inc,26.69,761508.0,0.52
US75629V1044,Recursion Pharmaceuticals Inc,80.91,720380.0,0.49
US02156V1098,Oklo Inc,65.04,721451.0,0.49
KRD010010001,원화예금,2354161.0,2354161.0,1.6
