티커,구성종목명,계약수,평가금액,비중
US80004C2008,Sandisk Corp/DE,21.13,43238298.0,12.76
US0079031078,Advanced Micro Devices Inc,55.69,28789113.0,8.49
US0937121079,Bloom Energy Corp,45.73,19645470.0,5.8
IE00BKVD2N49,Seagate Technology Holdings PLC,14.96,16783769.0,4.95
KR7000660001,SK하이닉스,9.34,14955032.0,4.41
US55024U1097,Lumentum Holdings Inc,9.54,13801171.0,4.07
US19247G1076,Coherent Corp,21.04,10279806.0,3.03
KR7005930003,삼성전자,37.75,10042511.0,2.96
US92537N1081,Vertiv Holdings Co,19.87,9859686.0,2.91
DE000ENER6YA,Siemens Energy AG,31.64,9860437.0,2.91
DE000623100B,Infineon Technologies AG,88.34,9124807.0,2.69
KYG254571055,Credo Technology Group Holding Ltd,31.78,8951643.0,2.64
US4581401001,Intel Corp,47.24,7434292.0,2.19
JP3914400001,Murata Manufacturing Co Ltd,144.82,6925770.0,2.04
US1717793095,Ciena Corp,8.66,6864795.0,2.03
US0420682058,ARM Holdings PLC,22.45,6823616.0,2.01
US5738741041,Marvell Technology Inc,26.61,6534318.0,1.93
US0326541051,Analog Devices Inc,10.85,6393064.0,1.89
US36828A1016,GE Vernova Inc,3.98,6346864.0,1.87
KR7006400006,삼성SDI,8.69,6065170.0,1.79
KR7034020008,두산에너빌리티,43.93,5578711.0,1.65
US11135F1012,Broadcom Inc,8.41,5232378.0,1.54
US1999081045,Comfort Systems USA Inc,1.73,4953981.0,1.46
IL0010823792,Tower Semiconductor Ltd,15.02,4928471.0,1.45
US2193501051,Corning Inc,20.36,4802832.0,1.42
US8807701029,Teradyne Inc,6.81,3540614.0,1.04
US5763231090,MasTec Inc,5.5,3503489.0,1.03
US6833441057,Onto Innovation Inc,7.68,3409686.0,1.01
US4824801009,KLA Corp,1.35,3414398.0,1.01
US5128073062,Lam Research Corp,8.5,3411626.0,1.01
US55405Y1001,MACOM Technology Solutions Holdings Inc,7.6,3355316.0,0.99
US21873S1087,CoreWeave Inc,17.96,3341853.0,0.99
US0382221051,Applied Materials Inc,5.6,3350361.0,0.99
US49338L1035,Keysight Technologies Inc,6.42,3326498.0,0.98
US68389X1054,Oracle Corp,12.28,3312208.0,0.98
HK0000218211,Hua Hong Semiconductor Ltd,149.89,3312344.0,0.98
IE00B8KQN827,Eaton Corp PLC,5.47,3268436.0,0.96
USN070592100,ASML Holding NV,1.54,3238330.0,0.96
KR7005380001,현대차,5.79,3186097.0,0.94
US19260Q1076,Coinbase Global Inc,10.99,3162914.0,0.93
JP3811000003,Fujikura Ltd,52.43,2834061.0,0.84
KYG017191142,Alibaba Group Holding Ltd,98.48,2399335.0,0.71
KR7440110005,파두,21.72,1711803.0,0.51
KYG070341048,Baidu Inc,72.41,1686225.0,0.5
US72703X1063,Planet Labs PBC,28.65,1548068.0,0.46
US7707001027,Robinhood Markets Inc,13.0,1456879.0,0.43
US7731211089,Rocket Lab Corp,12.38,1419060.0,0.42
US31816X1063,Firefly Aerospace Inc,25.44,1166711.0,0.34
KRD010010001,원화예금,382512.0,382512.0,0.11
