티커,구성종목명,계약수,평가금액,비중
US67066G1040,NVIDIA Corp,17.21,13708195.0,11.6
US5949181045,Microsoft Corp,15.45,8246889.0,6.98
US0231351067,Amazon.com Inc,22.18,4613101.0,3.91
US0079031078,Advanced Micro Devices Inc,18.96,4422923.0,3.74
US5738741041,Marvell Technology Inc,46.11,4388243.0,3.71
US30303M1027,Meta Platforms Inc,7.97,4091807.0,3.46
US8740391003,Taiwan Semiconductor Manufacturing Co Ltd,26.22,4009100.0,3.39
US4581401001,Intel Corp,57.89,3732054.0,3.16
US02079K3059,Alphabet Inc,18.47,3619901.0,3.06
US7475251036,QUALCOMM Inc,16.76,3409976.0,2.89
US79466L3024,Salesforce Inc,9.01,3388392.0,2.87
US11135F1012,Broadcom Inc,2.04,3308218.0,2.8
US00724F1012,Adobe Inc,3.85,3152396.0,2.67
US8334451098,Snowflake Inc,11.3,2921822.0,2.47
NL0012866412,BE Semiconductor Industries NV,10.96,2300545.0,1.95
US81762P1021,ServiceNow Inc,2.24,2246682.0,1.9
US8835561023,Thermo Fisher Scientific Inc,2.93,2164502.0,1.83
US22788C1053,Crowdstrike Holdings Inc,5.48,2131741.0,1.8
US0378331005,Apple Inc,8.25,2115957.0,1.79
US1273871087,Cadence Design Systems Inc,5.42,2120012.0,1.79
US60937P1066,MongoDB Inc,3.94,2115645.0,1.79
KR7005930003,삼성전자,25.28,1898528.0,1.61
US98980G1022,Zscaler Inc,6.11,1892109.0,1.6
US8716071076,Synopsys Inc,2.46,1703860.0,1.44
US90353T1007,Uber Technologies Inc,19.06,1661570.0,1.41
IL0011762130,Monday.com Ltd,6.27,1642294.0,1.39
HK0992009065,Lenovo Group Ltd,958.66,1602585.0,1.36
JP3548600000,Disco Corp,4.33,1599085.0,1.35
JP3148800000,Ibiden Co Ltd,20.47,1494530.0,1.27
JP3122400009,Advantest Corp,28.74,1504746.0,1.27
US23804L1035,Datadog Inc,7.86,1371350.0,1.16
JP3970300004,Recruit Holdings Co Ltd,23.62,1329375.0,1.13
US37637K1088,Gitlab Inc,14.3,1309030.0,1.11
US0420682058,ARM Holdings PLC,11.51,1210975.0,1.03
US0404132054,Arista Networks Inc,3.35,1181925.0,1.0
US88160R1014,Tesla Inc,4.13,1173337.0,0.99
DE000SHL1006,Siemens Healthineers AG,14.61,1110623.0,0.94
US91332U1016,Unity Software Inc,23.74,1053371.0,0.89
US83304A1060,Snap Inc,46.0,1011297.0,0.86
US60741F1049,Mobileye Global Inc,24.78,940262.0,0.8
US20717M1036,Confluent Inc,30.47,897110.0,0.76
KYG070341048,Baidu Inc,6.27,861736.0,0.73
US88339J1051,Trade Desk Inc/The,8.53,763481.0,0.65
JP3519400000,Chugai Pharmaceutical Co Ltd,15.35,769120.0,0.65
KR7033640004,네패스,25.91,533746.0,0.45
KRD010010001,원화예금,5402421.0,5402421.0,4.57
