티커,구성종목명,계약수,평가금액,비중
SNDK US EQUITY,Sandisk Corp,27.0,62697467.0,5.46
SKHY US EQUITY,SK hynix Inc,210.0,52061804.0,4.53
285A JP EQUITY,Kioxia Holdings Corp,97.0,48514567.0,4.22
NQU6 INDEX,NASDAQ 100 E-MINI INDEX SEPT 2026,0.0,47360068.0,4.12
INTC US EQUITY,Intel Corp,329.0,45922598.0,4.0
SNOW US EQUITY,Snowflake Inc,90.0,40343539.0,3.51
WDC US EQUITY,Western Digital Corp,58.0,36987790.0,3.22
NVDA US EQUITY,NVIDIA Corp,117.0,35286948.0,3.07
STX US EQUITY,Seagate Technology Holdings PLC,29.0,35041921.0,3.05
AMD US EQUITY,Advanced Micro Devices Inc,49.0,33110241.0,2.88
LITE US EQUITY,Lumentum Holdings Inc,25.0,32685515.0,2.85
DELL US EQUITY,Dell Technologies Inc,44.0,31385950.0,2.73
CRM US EQUITY,Salesforce Inc,94.0,31287827.0,2.72
0043Y0,TIME 차이나AI테크액티브,1604.0,30852940.0,2.69
GOOG US EQUITY,Alphabet Inc,67.0,30022781.0,2.61
009150,삼성전기,21.0,29484000.0,2.57
AMZN US EQUITY,Amazon.com Inc,84.0,28840359.0,2.51
AAOI US EQUITY,Applied Optoelectronics Inc,190.0,28317971.0,2.47
MSTR US EQUITY,Strategy Inc,149.0,27178251.0,2.37
BABA US EQUITY,Alibaba Group Holding Ltd,173.0,26040829.0,2.27
CASH,현금,25582534.0,25582534.0,2.23
COIN US EQUITY,Coinbase Global Inc,107.0,25581745.0,2.23
NOW US EQUITY,ServiceNow Inc,137.0,24566563.0,2.14
SAP US EQUITY,SAP SE,84.0,23736030.0,2.07
6981 JP EQUITY,Murata Manufacturing Co Ltd,376.0,23005061.0,2.0
TSLA US EQUITY,Tesla Inc,46.0,22627334.0,1.97
META US EQUITY,Meta Platforms Inc,27.0,22131106.0,1.93
MELI US EQUITY,MercadoLibre Inc,8.0,20589301.0,1.79
ARM US EQUITY,ARM Holdings PLC,56.0,19568093.0,1.7
ASML US EQUITY,ASML Holding NV,8.0,18864128.0,1.64
2513 HK EQUITY,Z AI Co Ltd,120.0,18727070.0,1.63
IBM US EQUITY,International Business Machines Corp,54.0,16745154.0,1.46
100 HK EQUITY,Minimax Group Inc,294.0,16589403.0,1.44
ACN US EQUITY,Accenture PLC,69.0,16504936.0,1.44
ROP US EQUITY,Roper Technologies Inc,28.0,14801583.0,1.29
QCOM US EQUITY,QUALCOMM Inc,62.0,14421302.0,1.26
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,24.0,14077149.0,1.23
HOOD US EQUITY,Robinhood Markets Inc,89.0,13953239.0,1.22
BE US EQUITY,Bloom Energy Corp,31.0,11482202.0,1.0
5803 JP EQUITY,Fujikura Ltd,257.0,11380625.0,0.99
300502 CH EQUITY,Eoptolink Technology Inc Ltd,135.0,11197266.0,0.98
300308 CH EQUITY,Zhongji Innolight Co Ltd,62.0,11144070.0,0.97
EBAY US EQUITY,eBay Inc,66.0,9223018.0,0.8
PDD US EQUITY,PDD Holdings Inc,84.0,8950533.0,0.78
