티커,구성종목명,계약수,평가금액,비중
CASH,현금,0,0,1.59
AMZN US EQUITY,Amazon.com Inc,0,0,0.85
STX US EQUITY,Seagate Technology Holdings PLC,0,0,2.67
INTC US EQUITY,Intel Corp,0,0,1.6
WDC US EQUITY,Western Digital Corp,0,0,2.13
GOOG US EQUITY,Alphabet Inc,0,0,3.58
9988 HK EQUITY,Alibaba Group Holding Ltd,0,0,1.38
009150,삼성전기,0,0,0.48
NVDA US EQUITY,NVIDIA Corp,0,0,5.32
0043Y0,TIME 차이나AI테크액티브,0,0,2.71
ASML US EQUITY,ASML Holding NV,0,0,2.01
TSEM US EQUITY,Tower Semiconductor Ltd,0,0,1.27
LITE US EQUITY,Lumentum Holdings Inc,0,0,2.55
META US EQUITY,Meta Platforms Inc,0,0,1.46
MSTR US EQUITY,Strategy Inc,0,0,1.44
TSM US EQUITY,Taiwan Semiconductor Manufacturing Co Ltd,0,0,2.84
COIN US EQUITY,Coinbase Global Inc,0,0,0.99
000660,SK하이닉스,0,0,6.94
TSLA US EQUITY,Tesla Inc,0,0,1.4
GEV US EQUITY,GE Vernova Inc,0,0,4.95
SNDK US EQUITY,Sandisk Corp/DE,0,0,6.81
BE US EQUITY,Bloom Energy Corp,0,0,7.74
RKLB US EQUITY,Rocket Lab Corp,0,0,1.85
034020,두산에너빌리티,0,0,1.88
CIEN US EQUITY,Ciena Corp,0,0,3.86
MSFT US EQUITY,Microsoft Corp,0,0,0.83
307950,현대오토에버,0,0,1.55
FLNC US EQUITY,Fluence Energy Inc,0,0,1.13
1772 HK EQUITY,Ganfeng Lithium Group Co Ltd,0,0,2.49
267260,HD현대일렉트릭,0,0,1.5
EOSE US EQUITY,Eos Energy Enterprises Inc,0,0,0.29
PL US EQUITY,Planet Labs PBC,0,0,0.8
VRT US EQUITY,Vertiv Holdings Co,0,0,2.09
AXTI US EQUITY,AXT Inc,0,0,1.07
CCJ US EQUITY,Cameco Corp,0,0,3.46
006400,삼성SDI,0,0,2.33
UUUU US EQUITY,Energy Fuels Inc/Canada,0,0,1.41
UEC US EQUITY,Uranium Energy Corp,0,0,1.23
ASTS US EQUITY,AST SpaceMobile Inc,0,0,0.63
440110,파두,0,0,1.95
SIMO US EQUITY,Silicon Motion Technology Corp,0,0,2.38
COHR US EQUITY,Coherent Corp,0,0,2.1
010120,LS ELECTRIC,0,0,1.4
CRCL US EQUITY,Circle Internet Group Inc,0,0,1.06
